stress_family,domain,source,K,alpha,raw_FTR,PARC_release,PARC_FTR,mass_ratio,max_observed_e,refusal_reason,outcome,evidence_state
score_corruption,biomedical_cell_tracking,random_score_negative_control,10,0.1,0.76,0.0,0.0,0.238774136303992,9.804598402757112,observed_e_below_required_emax,certified_refusal,completed_diagnostic
score_corruption,biomedical_cell_tracking,random_score_negative_control,25,0.1,0.79,0.0,0.0,0.1273890778500645,9.804598402757112,observed_e_below_required_emax,certified_refusal,completed_diagnostic
score_corruption,biomedical_cell_tracking,random_score_negative_control,50,0.1,0.808,0.0,0.0,0.0772156382115417,9.804598402757112,observed_e_below_required_emax,certified_refusal,completed_diagnostic
score_corruption,biomedical_cell_tracking,random_score_negative_control,75,0.1,0.808,0.0,0.0,0.0621919768618589,9.804598402757112,observed_e_below_required_emax,certified_refusal,completed_diagnostic
score_corruption,biomedical_cell_tracking,random_score_negative_control,100,0.1,0.8074999999999999,0.0,0.0,0.0562513371052834,9.804598402757112,observed_e_below_required_emax,certified_refusal,completed_diagnostic
score_corruption,biomedical_cell_tracking,random_score_negative_control,300,0.1,0.7966666666666666,0.0,0.0,0.0394010548754013,9.804598402757112,observed_e_below_required_emax,certified_refusal,completed_diagnostic
score_corruption,biomedical_cell_tracking,random_score_negative_control,10,0.2,0.76,0.0,0.0,0.4775482726079841,9.804598402757112,insufficient_high_e_mass_for_uniform_scs,certified_refusal,completed_diagnostic
score_corruption,biomedical_cell_tracking,random_score_negative_control,25,0.2,0.79,0.0,0.0,0.254778155700129,9.804598402757112,insufficient_high_e_mass_for_uniform_scs,certified_refusal,completed_diagnostic
score_corruption,biomedical_cell_tracking,random_score_negative_control,50,0.2,0.808,0.0,0.0,0.1544312764230836,9.804598402757112,insufficient_high_e_mass_for_uniform_scs,certified_refusal,completed_diagnostic
score_corruption,biomedical_cell_tracking,random_score_negative_control,75,0.2,0.808,0.0,0.0,0.1243839537237178,9.804598402757112,insufficient_high_e_mass_for_uniform_scs,certified_refusal,completed_diagnostic
score_corruption,biomedical_cell_tracking,random_score_negative_control,100,0.2,0.8074999999999999,0.0,0.0,0.1125026742105669,9.804598402757112,insufficient_high_e_mass_for_uniform_scs,certified_refusal,completed_diagnostic
score_corruption,biomedical_cell_tracking,random_score_negative_control,300,0.2,0.7966666666666666,0.0,0.0,0.0788021097508027,9.804598402757112,insufficient_high_e_mass_for_uniform_scs,certified_refusal,completed_diagnostic
score_corruption,materials_discovery,random_score_control_same_candidates,50,0.1,0.8780000000000001,1.6,0.0833333333333333,0.7850511422699413,106.56503188682365,insufficient_high_e_mass_for_uniform_scs,unsafe_low_budget_random_ordering_diagnostic,completed_diagnostic
score_corruption,materials_discovery,random_score_control_same_candidates,100,0.1,0.8779999999999999,0.35,0.0428571428571428,0.4108671044833352,106.56503188682365,insufficient_high_e_mass_for_uniform_scs,unsafe_low_budget_random_ordering_diagnostic,completed_diagnostic
score_corruption,materials_discovery,random_score_control_same_candidates,300,0.1,0.8548333333333333,0.0,0.0,0.1498755604911486,106.56503188682365,insufficient_high_e_mass_for_uniform_scs,refusal_at_moderate_or_high_budget,completed_diagnostic
score_corruption,materials_discovery,random_score_control_same_candidates,1000,0.1,0.8538,0.0,0.0,0.0590513903963453,106.56503188682365,insufficient_high_e_mass_for_uniform_scs,refusal_at_moderate_or_high_budget,completed_diagnostic
