target_row,seed,K,top_score_released,top_score_actual_FTR,top_score_safe_release,top_score_alpha_violation,top_score_verified_positives_found,top_score_audit_candidates_inspected,top_score_best_mass_ratio,random_same_budget_released,random_same_budget_actual_FTR,random_full_budget_released,random_full_budget_actual_FTR,claim_boundary
ctc_learned_strict_alpha010_K100,0,100,100,0.0,True,False,350,350,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,1,100,100,0.0,True,False,299,299,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,2,100,100,0.0,True,False,365,365,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,3,100,100,0.0,True,False,373,373,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,4,100,100,0.0,True,False,387,387,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,5,100,100,0.0,True,False,397,397,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,6,100,100,0.0,True,False,368,368,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,7,100,100,0.0,True,False,388,388,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,8,100,100,0.0,True,False,319,319,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,9,100,100,0.0,True,False,401,401,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,10,100,100,0.0,True,False,356,356,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,11,100,100,0.0,True,False,387,387,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,12,100,100,0.0,True,False,323,323,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,13,100,100,0.0,True,False,391,391,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,14,100,100,0.0,True,False,325,325,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,15,100,100,0.0,True,False,305,305,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,16,100,100,0.0,True,False,354,354,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,17,100,100,0.0,True,False,454,454,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,18,100,100,0.0,True,False,338,338,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K100,19,100,100,0.0,True,False,352,352,1.3321283238137231,0,0.0,100,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,0,300,272,0.0,True,False,350,350,1.2077963469244426,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,1,300,300,0.0,True,False,299,299,1.3321283238137231,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,2,300,300,0.0,True,False,365,365,1.3321283238137231,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,3,300,300,0.0,True,False,373,373,1.3321283238137231,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,4,300,229,0.0,True,False,387,387,1.0168579538444755,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,5,300,300,0.0,True,False,397,397,1.3321283238137231,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,6,300,300,0.0,True,False,368,368,1.3321283238137231,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,7,300,300,0.0,True,False,388,388,1.3321283238137231,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,8,300,262,0.0,True,False,319,319,1.163392069463985,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,9,300,300,0.0,True,False,401,401,1.3321283238137231,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,10,300,300,0.0,True,False,356,356,1.3321283238137231,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,11,300,276,0.0,True,False,387,387,1.2255580579086254,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,12,300,300,0.0,True,False,323,323,1.3321283238137231,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,13,300,300,0.0,True,False,391,391,1.3321283238137231,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,14,300,299,0.0,True,False,325,325,1.3276878960676777,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,15,300,290,0.0,True,False,305,305,1.2877240463532658,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,16,300,0,0.0,False,False,354,354,0.9768941041300636,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,17,300,300,0.0,True,False,454,454,1.3321283238137231,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,18,300,300,0.0,True,False,338,338,1.3321283238137231,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
ctc_learned_strict_alpha010_K300,19,300,282,0.0,True,False,352,352,1.2522006243848998,0,0.0,300,0.0,seed rows for CTC active-audit strong-positive package
