domain,dataset,unit,target_row,proposal_source,block_definition,alpha,K,audit_policy,audit_budget_fraction,seeds,non_empty_seeds,release_rate,safe_release_rate,mean_release,min_release,max_release,actual_FTR_mean,actual_FTR_max,alpha_violation_rate,refusal_rate,raw_topK_actual_FTR_mean,best_mass_ratio_mean,max_observed_e_mean,required_e,block_coverage_mean,audit_candidates_inspected_mean,verified_positives_found_mean,verified_positive_yield_mean,cost_per_release_mean,cost_per_true_release_mean,dominant_empty_reason,evidence_status,paper_role,first_safe_release_budget_fraction
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,block_balanced_top_score,0.0,20,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.04588400952452208,3.6049306125076703,10.0,1.0,0.0,0.0,0.0,inf,inf,observed_e_below_required_emax,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,0.01
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,block_balanced_top_score,0.005,20,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.3916861946896136,13.321283238137232,10.0,1.0,361.6,361.6,1.0,inf,inf,insufficient_high_e_mass_for_uniform_scs,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,0.01
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,block_balanced_top_score,0.01,20,19,0.95,0.95,90.95,0,100,0.0,0.0,0.0,0.05,0.0,1.2595273301658754,13.321283238137232,10.0,1.0,723.0,723.0,1.0,7.949422759758108,7.949422759758108,,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,0.01
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,block_balanced_top_score,0.02,20,20,1.0,1.0,100.0,100,100,0.0,0.0,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,1445.95,1369.1,0.9485585471473705,14.4595,14.4595,,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,0.01
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,block_balanced_top_score,0.05,20,20,1.0,1.0,100.0,100,100,0.0,0.0,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,3614.95,2588.15,0.7167125581418194,36.149499999999996,36.149499999999996,,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,0.01
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,block_balanced_top_score,0.1,20,20,1.0,1.0,100.0,100,100,0.0,0.0,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,7229.95,3968.85,0.5488885427583068,72.2995,72.2995,,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,0.01
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,block_balanced_top_score,0.2,20,20,1.0,1.0,100.0,100,100,0.0,0.0,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,14459.9,7219.25,0.4966730220448484,144.599,144.599,,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,0.01
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,diversity_round_robin,0.0,20,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.04588400952452208,3.6049306125076703,10.0,1.0,0.0,0.0,0.0,inf,inf,observed_e_below_required_emax,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,0.01
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,diversity_round_robin,0.005,20,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.3916861946896136,13.321283238137232,10.0,1.0,361.6,361.6,1.0,inf,inf,insufficient_high_e_mass_for_uniform_scs,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,0.01
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,diversity_round_robin,0.01,20,19,0.95,0.95,90.95,0,100,0.0,0.0,0.0,0.05,0.0,1.2595273301658754,13.321283238137232,10.0,1.0,723.0,723.0,1.0,7.949422759758108,7.949422759758108,,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,0.01
