claim_uid,material_id,zip_member,raw_cif_present_in_local_cache,raw_cif_sha256,parse_status,pymatgen_reduced_formula,pymatgen_chemical_system,pymatgen_n_sites,pymatgen_volume,registry_reduced_formula,registry_chemical_system,formula_consistency,evidence_scope
gnome_public_stable_materials::000006a8c4,000006a8c4,by_id/000006a8c4.CIF,True,47692696668be89e871149337d8cc7eba69bc34e1bfb82e40328e0e1150e6fc5,parsed,Cs(ZrS2)3,Cs-S-Zr,10,302.920223491797,Cs(ZrS2)3,Cs-S-Zr,matches_registry_formula,b_line_gnome_raw_structure_ingest;derived_metadata_only;raw_cif_not_versioned;exact_matching_pending;current_reference_verdicts_pending;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00006650ea,00006650ea,by_id/00006650ea.CIF,True,5e6219b9392fbee6efde87e424f44c563010c45e3b24cc8fa38f6187048c93c7,parsed,Ho4Al18FePdPt4,Al-Fe-Ho-Pd-Pt,28,469.89454780076306,Ho4Al18FePdPt4,Al-Fe-Ho-Pd-Pt,matches_registry_formula,b_line_gnome_raw_structure_ingest;derived_metadata_only;raw_cif_not_versioned;exact_matching_pending;current_reference_verdicts_pending;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00008f2ec4,00008f2ec4,by_id/00008f2ec4.CIF,True,79d5952a43d230475e07d73274752a3d2a3c3f275086ade547dba3a820599094,parsed,Lu4AlTcB12,Al-B-Lu-Tc,36,373.1385442067942,Lu4AlTcB12,Al-B-Lu-Tc,matches_registry_formula,b_line_gnome_raw_structure_ingest;derived_metadata_only;raw_cif_not_versioned;exact_matching_pending;current_reference_verdicts_pending;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::0000a1b980,0000a1b980,by_id/0000a1b980.CIF,True,d501f0fd579f7ee4dd6953111142a991ee3a15592e4236bae5181b37286c2891,parsed,NaPr(NdB12)2,B-Na-Nd-Pr,28,284.6331747788778,NaPr(NdB12)2,B-Na-Nd-Pr,matches_registry_formula,b_line_gnome_raw_structure_ingest;derived_metadata_only;raw_cif_not_versioned;exact_matching_pending;current_reference_verdicts_pending;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00011f62be,00011f62be,by_id/00011f62be.CIF,True,2577198a5cb7a6a256f49a37287ecc0e076fb076539f04af2213c77dfd33a9ef,parsed,Pr3Nd7Si5Os,Nd-Os-Pr-Si,16,430.2850618261958,Pr3Nd7Si5Os,Nd-Os-Pr-Si,matches_registry_formula,b_line_gnome_raw_structure_ingest;derived_metadata_only;raw_cif_not_versioned;exact_matching_pending;current_reference_verdicts_pending;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00012feb99,00012feb99,by_id/00012feb99.CIF,True,2c76f3b88b3ccaebc938936c19f7b49aebc2703592f75c0399c2f23f482114d6,parsed,La3Ce2Tm15Pt16,Ce-La-Pt-Tm,36,828.6646935214917,La3Ce2Tm15Pt16,Ce-La-Pt-Tm,matches_registry_formula,b_line_gnome_raw_structure_ingest;derived_metadata_only;raw_cif_not_versioned;exact_matching_pending;current_reference_verdicts_pending;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::0001759321,0001759321,by_id/0001759321.CIF,True,319606d0fec9fef90f43d1397e9002cf583435749e84958e8479363975617d62,parsed,Er2Zr3Si3Ge,Er-Ge-Si-Zr,36,727.5282660518036,Er2Zr3Si3Ge,Er-Ge-Si-Zr,matches_registry_formula,b_line_gnome_raw_structure_ingest;derived_metadata_only;raw_cif_not_versioned;exact_matching_pending;current_reference_verdicts_pending;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::0001803dde,0001803dde,by_id/0001803dde.CIF,True,c6731239e1c08f69fd4d8055533e9ca9964b7fb00e45046906f100125878f725,parsed,Y4Er8Ni5Bi,Bi-Er-Ni-Y,18,448.3358236890286,Y4Er8Ni5Bi,Bi-Er-Ni-Y,matches_registry_formula,b_line_gnome_raw_structure_ingest;derived_metadata_only;raw_cif_not_versioned;exact_matching_pending;current_reference_verdicts_pending;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000195ca16,000195ca16,by_id/000195ca16.CIF,True,92a0e7d4ae849162f988788123d215079b3a4d89ae2c0f98d99ec4f145d52a1e,parsed,DyEr2Lu2CoSb2,Co-Dy-Er-Lu-Sb,32,814.079279434131,DyEr2Lu2CoSb2,Co-Dy-Er-Lu-Sb,matches_registry_formula,b_line_gnome_raw_structure_ingest;derived_metadata_only;raw_cif_not_versioned;exact_matching_pending;current_reference_verdicts_pending;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00019facb3,00019facb3,by_id/00019facb3.CIF,True,0ad34f67d2a4301617a6d04826b844565f18adcc81ec6a30ad775d8223f1c47c,parsed,Tb8Gd4InGaCo4,Co-Ga-Gd-In-Tb,18,451.7560564428959,Tb8Gd4InGaCo4,Co-Ga-Gd-In-Tb,matches_registry_formula,b_line_gnome_raw_structure_ingest;derived_metadata_only;raw_cif_not_versioned;exact_matching_pending;current_reference_verdicts_pending;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
