claim_uid,material_id,gnome_reduced_formula,gnome_chemical_system,mp_chemsys_candidate_count,mp_exact_formula_candidate_count,has_neighbor_candidates,best_neighbor_mp_material_id,best_neighbor_formula,best_neighbor_composition_l1_distance,best_neighbor_site_count_ratio,exact_match_path_available,recommended_next_action,evidence_scope
gnome_public_stable_materials::000006a8c4,000006a8c4,Cs(ZrS2)3,Cs-S-Zr,1,0,True,mp-680246,Cs4Zr3S14,0.3142857142857143,0.23809523809523808,False,expand_source_registry_or_query_external_source;no_exact_formula_mp_path,b_line_gnome_mp_neighbor_gap_analysis;chemical_neighbor_distance_only;exact_formula_matches_absent_in_phase91;structure_matching_not_run;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00006650ea,00006650ea,Ho4Al18FePdPt4,Al-Fe-Ho-Pd-Pt,0,0,False,,,,,False,expand_source_registry_or_query_external_source;no_exact_formula_mp_path,b_line_gnome_mp_neighbor_gap_analysis;chemical_neighbor_distance_only;exact_formula_matches_absent_in_phase91;structure_matching_not_run;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00008f2ec4,00008f2ec4,Lu4AlTcB12,Al-B-Lu-Tc,0,0,False,,,,,False,expand_source_registry_or_query_external_source;no_exact_formula_mp_path,b_line_gnome_mp_neighbor_gap_analysis;chemical_neighbor_distance_only;exact_formula_matches_absent_in_phase91;structure_matching_not_run;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::0000a1b980,0000a1b980,NaPr(NdB12)2,B-Na-Nd-Pr,0,0,False,,,,,False,expand_source_registry_or_query_external_source;no_exact_formula_mp_path,b_line_gnome_mp_neighbor_gap_analysis;chemical_neighbor_distance_only;exact_formula_matches_absent_in_phase91;structure_matching_not_run;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00011f62be,00011f62be,Pr3Nd7Si5Os,Nd-Os-Pr-Si,0,0,False,,,,,False,expand_source_registry_or_query_external_source;no_exact_formula_mp_path,b_line_gnome_mp_neighbor_gap_analysis;chemical_neighbor_distance_only;exact_formula_matches_absent_in_phase91;structure_matching_not_run;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00012feb99,00012feb99,La3Ce2Tm15Pt16,Ce-La-Pt-Tm,0,0,False,,,,,False,expand_source_registry_or_query_external_source;no_exact_formula_mp_path,b_line_gnome_mp_neighbor_gap_analysis;chemical_neighbor_distance_only;exact_formula_matches_absent_in_phase91;structure_matching_not_run;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::0001759321,0001759321,Er2Zr3Si3Ge,Er-Ge-Si-Zr,0,0,False,,,,,False,expand_source_registry_or_query_external_source;no_exact_formula_mp_path,b_line_gnome_mp_neighbor_gap_analysis;chemical_neighbor_distance_only;exact_formula_matches_absent_in_phase91;structure_matching_not_run;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::0001803dde,0001803dde,Y4Er8Ni5Bi,Bi-Er-Ni-Y,0,0,False,,,,,False,expand_source_registry_or_query_external_source;no_exact_formula_mp_path,b_line_gnome_mp_neighbor_gap_analysis;chemical_neighbor_distance_only;exact_formula_matches_absent_in_phase91;structure_matching_not_run;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000195ca16,000195ca16,DyEr2Lu2CoSb2,Co-Dy-Er-Lu-Sb,0,0,False,,,,,False,expand_source_registry_or_query_external_source;no_exact_formula_mp_path,b_line_gnome_mp_neighbor_gap_analysis;chemical_neighbor_distance_only;exact_formula_matches_absent_in_phase91;structure_matching_not_run;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00019facb3,00019facb3,Tb8Gd4InGaCo4,Co-Ga-Gd-In-Tb,0,0,False,,,,,False,expand_source_registry_or_query_external_source;no_exact_formula_mp_path,b_line_gnome_mp_neighbor_gap_analysis;chemical_neighbor_distance_only;exact_formula_matches_absent_in_phase91;structure_matching_not_run;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
