domain,row_id,rerun_type,match_level,log_size_tau,alpha,K,seeds,diagnostic_runs,non_empty_runs,non_empty_seeds,mean_release,mean_FTR,max_FTR,raw_topK_FTR_mean,best_mass_ratio_mean,max_observed_e_mean,qualitative_decision,safety_flag
materials_discovery,materials_alignn_alpha010_K300,size_matched_blockmax,global_original,,0.1,300,10,10.0,10.0,10,99.4,0.07080143214258565,0.1485148514851485,0.26,3.710046138707567,164.64255843766983,release_stable,no_over_alpha_mean_FTR
materials_discovery,materials_alignn_alpha010_K300,size_matched_blockmax,loose,1.25,0.1,300,10,10.0,7.0,7,72.8,0.0434618744599571,0.09433962264150944,0.26,1.2934590028064585,112.0326164945283,power_loss_or_refusal,no_over_alpha_mean_FTR
materials_discovery,materials_alignn_alpha010_K300,size_matched_blockmax,medium,0.75,0.1,300,10,10.0,3.0,3,47.3,0.02538445932237777,0.09433962264150944,0.26,0.9680350400448308,78.47468351069627,power_loss_or_refusal,no_over_alpha_mean_FTR
materials_discovery,materials_alignn_alpha010_K300,size_matched_blockmax,strict,0.25,0.1,300,10,10.0,0.0,0,0.0,0.0,0.0,0.26,0.6650682331880509,34.03303304223063,power_loss_or_refusal,no_over_alpha_mean_FTR
materials_discovery,materials_alignn_alpha010_K500,size_matched_blockmax,global_original,,0.1,500,10,10.0,10.0,10,78.1,0.03148115117436717,0.07954545454545454,0.3296,2.2260276832245403,164.64255843766983,release_stable,no_over_alpha_mean_FTR
materials_discovery,materials_alignn_alpha010_K500,size_matched_blockmax,loose,1.25,0.1,500,10,10.0,3.0,3,29.0,0.007346357346357346,0.04395604395604396,0.3296,0.776075401683875,112.0326164945283,power_loss_or_refusal,no_over_alpha_mean_FTR
materials_discovery,materials_alignn_alpha010_K500,size_matched_blockmax,medium,0.75,0.1,500,10,10.0,0.0,0,0.0,0.0,0.0,0.3296,0.5808210240268987,78.47468351069627,power_loss_or_refusal,no_over_alpha_mean_FTR
materials_discovery,materials_alignn_alpha010_K500,size_matched_blockmax,strict,0.25,0.1,500,10,10.0,0.0,0,0.0,0.0,0.0,0.3296,0.41837993057490286,34.03303304223063,power_loss_or_refusal,no_over_alpha_mean_FTR
materials_discovery,materials_cgcnn_alpha010_K100,size_matched_blockmax,global_original,,0.1,100,10,10.0,10.0,10,100.0,0.038000000000000006,0.1,0.038000000000000006,12.604975096650286,164.55597493117816,release_stable,no_over_alpha_mean_FTR
materials_discovery,materials_cgcnn_alpha010_K100,size_matched_blockmax,loose,1.25,0.1,100,10,10.0,10.0,10,99.3,0.035517515581345374,0.08,0.038000000000000006,4.043292567141288,113.92388478737462,release_stable,no_over_alpha_mean_FTR
materials_discovery,materials_cgcnn_alpha010_K100,size_matched_blockmax,medium,0.75,0.1,100,10,10.0,10.0,10,97.6,0.0314136098457604,0.07216494845360824,0.038000000000000006,2.6595683885994723,78.50111768857349,release_stable,no_over_alpha_mean_FTR
materials_discovery,materials_cgcnn_alpha010_K100,size_matched_blockmax,strict,0.25,0.1,100,10,10.0,9.0,9,71.3,0.02409035869500986,0.07692307692307693,0.038000000000000006,1.1203233015054235,34.40986976755701,release_stable,no_over_alpha_mean_FTR
biomedical_cell_tracking,ctc_learned_alpha010_K100,size_matched_blockmax,not_run_public_candidate_level_artifact_unavailable,,0.1,100,20,,,20,100.0,0.0,0.0,0.0,1.337801129860021,13.378011298600208,release_stable_in_completed_aggregate_row,not_candidate_level_rerun
earth_observation,spacenet_real_audit_alpha020_K100,size_matched_blockmax,not_run_public_candidate_level_artifact_unavailable,,0.2,100,20,,,0,0.0,0.0,0.0,,0.6352281046999336,6.061336876907763,stable_refusal_in_completed_real_audit_row,not_candidate_level_rerun
