proposal_source,alpha,K,non_empty_seeds,PARC_released_mean,raw_selected_links_mean,raw_false_lineage_edges_mean,PARC_false_lineage_edges_mean,prevented_false_lineage_edges_mean,raw_aogm_edge_edit_burden_proxy_mean,PARC_aogm_edge_edit_burden_proxy_mean,prevented_aogm_edge_edit_burden_proxy_mean,interpretation,source_table,source_sha256
ctc_learned_hybrid,0.1,100,20,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_queue_clean_or_no_lineage_damage_at_this_budget,outputs/milestones/ctc_decision_utility_main_evidence/table_ctc_raw_vs_parc_downstream_damage.csv,f4a3d671b1c56b54309c59ff9673e01ba7c5588660cfae6dc2d0821c1d2728f0
ctc_learned_hybrid,0.1,300,20,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_queue_clean_or_no_lineage_damage_at_this_budget,outputs/milestones/ctc_decision_utility_main_evidence/table_ctc_raw_vs_parc_downstream_damage.csv,f4a3d671b1c56b54309c59ff9673e01ba7c5588660cfae6dc2d0821c1d2728f0
ctc_learned_hybrid,0.1,500,20,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_queue_clean_or_no_lineage_damage_at_this_budget,outputs/milestones/ctc_decision_utility_main_evidence/table_ctc_raw_vs_parc_downstream_damage.csv,f4a3d671b1c56b54309c59ff9673e01ba7c5588660cfae6dc2d0821c1d2728f0
ctc_learned_hybrid,0.1,1000,20,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_queue_clean_or_no_lineage_damage_at_this_budget,outputs/milestones/ctc_decision_utility_main_evidence/table_ctc_raw_vs_parc_downstream_damage.csv,f4a3d671b1c56b54309c59ff9673e01ba7c5588660cfae6dc2d0821c1d2728f0
ctc_learned_hybrid,0.1,5000,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_queue_clean_or_no_lineage_damage_at_this_budget,outputs/milestones/ctc_decision_utility_main_evidence/table_ctc_raw_vs_parc_downstream_damage.csv,f4a3d671b1c56b54309c59ff9673e01ba7c5588660cfae6dc2d0821c1d2728f0
ctc_noisy_geometric_linker,0.1,100,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_queue_clean_or_no_lineage_damage_at_this_budget,outputs/milestones/ctc_decision_utility_main_evidence/table_ctc_raw_vs_parc_downstream_damage.csv,f4a3d671b1c56b54309c59ff9673e01ba7c5588660cfae6dc2d0821c1d2728f0
ctc_noisy_geometric_linker,0.1,300,0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_queue_clean_or_no_lineage_damage_at_this_budget,outputs/milestones/ctc_decision_utility_main_evidence/table_ctc_raw_vs_parc_downstream_damage.csv,f4a3d671b1c56b54309c59ff9673e01ba7c5588660cfae6dc2d0821c1d2728f0
ctc_noisy_geometric_linker,0.1,500,0,0.0,500.0,0.1,0.0,0.1,0.2,0.0,0.2,PARC_prevents_false_lineage_edges_from_entering_graph,outputs/milestones/ctc_decision_utility_main_evidence/table_ctc_raw_vs_parc_downstream_damage.csv,f4a3d671b1c56b54309c59ff9673e01ba7c5588660cfae6dc2d0821c1d2728f0
ctc_noisy_geometric_linker,0.1,1000,0,0.0,1000.0,20.15,0.0,20.15,43.25,0.0,43.25,PARC_prevents_false_lineage_edges_from_entering_graph,outputs/milestones/ctc_decision_utility_main_evidence/table_ctc_raw_vs_parc_downstream_damage.csv,f4a3d671b1c56b54309c59ff9673e01ba7c5588660cfae6dc2d0821c1d2728f0
ctc_noisy_geometric_linker,0.1,5000,0,0.0,5000.0,2907.5,0.0,2907.5,5888.9,0.0,5888.9,PARC_prevents_false_lineage_edges_from_entering_graph,outputs/milestones/ctc_decision_utility_main_evidence/table_ctc_raw_vs_parc_downstream_damage.csv,f4a3d671b1c56b54309c59ff9673e01ba7c5588660cfae6dc2d0821c1d2728f0
