method,alpha1,seed,candidate_budget_M,released,n_cal_total,n_covered,n_excluded_empty,p_min_effective,emax_effective,required_emax,release_feasible,max_observed_e,best_margin_k,best_margin_tau,best_margin,empty_reason,empty_diagnostic
unmatched_as_false_block,0.05,0,75,0,708.0,591.0,117.0,0.0016891891891891,12.16552506059644,20.0,True,12.16552506059644,75.0,20.0,-13.917237469701782,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,0,100,0,708.0,591.0,117.0,0.0016891891891891,12.16552506059644,20.0,True,12.16552506059644,100.0,20.0,-15.03344519141622,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,0,125,0,708.0,591.0,117.0,0.0016891891891891,12.16552506059644,20.0,True,12.16552506059644,125.0,20.0,-15.03344519141622,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,0,150,0,708.0,591.0,117.0,0.0016891891891891,12.16552506059644,20.0,True,12.16552506059644,150.0,20.0,-16.15292318766573,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,0,175,0,708.0,591.0,117.0,0.0016891891891891,12.16552506059644,20.0,True,12.16552506059644,175.0,20.0,-16.33195618148509,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,0,200,0,708.0,591.0,117.0,0.0016891891891891,12.16552506059644,20.0,True,12.16552506059644,200.0,20.0,-16.33195618148509,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,0,250,0,708.0,591.0,117.0,0.0016891891891891,12.16552506059644,20.0,True,12.16552506059644,250.0,20.0,-16.95861873485089,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
null_superset_no_audit,0.05,0,75,0,708.0,591.0,117.0,0.0016891891891891,34.11677023775056,20.0,True,34.11677023775056,75.0,20.0,-9.402025970654432,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.05,0,100,0,708.0,591.0,117.0,0.0016891891891891,34.11677023775056,20.0,True,34.11677023775056,94.0,21.27659574468085,-10.678621715335284,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.05,0,125,0,708.0,591.0,117.0,0.0016891891891891,34.11677023775056,20.0,True,34.11677023775056,125.0,20.0,-12.471352889450609,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
