method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,15.676415406590976,13.133925536563696,20.0,True,13.133925536563696,10.11359203197165,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2456.0,,,73.0,20.54794520547945,-11.260857394976096,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,15.676415406590976,13.133925536563696,20.0,True,13.133925536563696,9.480912884991628,100,100.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2456.0,,,100.0,20.0,-12.41712455594845,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,15.676415406590976,13.133925536563696,20.0,True,13.133925536563696,8.866656927251624,125,125.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2456.0,,,125.0,20.0,-14.126329937764634,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,15.676415406590976,13.133925536563696,20.0,True,13.133925536563696,8.367825783082248,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2456.0,,,150.0,20.0,-14.126329937764634,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,15.676415406590976,13.133925536563696,20.0,True,13.133925536563696,8.00274466727806,175,175.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2456.0,,,172.0,20.348837209302328,-14.475167147066962,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,15.676415406590976,13.133925536563696,20.0,True,13.133925536563696,7.672639414791028,200,200.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2456.0,,,200.0,20.0,-14.638097352618196,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,15.676415406590976,13.133925536563696,20.0,True,13.133925536563696,7.210492061309184,250,250.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2456.0,,,250.0,20.0,-14.638097352618196,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.1529825883736795,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,52.40671520749837,38.8326128927103,20.0,True,38.8326128927103,25.329694875676388,75,75.0,0.0,73,72,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0136986301369863,0.9733333333333334,0.0,2456.0,20.54794520547945,1.0403807010028032,73.0,20.54794520547945,1.0403807010028032,21.58832590648225,25.604118766288785,38.8326128927103,,,0,certified_or_core_baseline,,
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.1529825883736795,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,52.40671520749837,38.8326128927103,20.0,True,38.8326128927103,22.82557687383828,100,100.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2456.0,,,100.0,20.0,-4.686777131676049,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.1529825883736795,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,52.40671520749837,38.8326128927103,20.0,True,38.8326128927103,20.578297149800424,125,125.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2456.0,,,105.0,23.80952380952381,-8.49630094119986,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,
