dataset,generator,mondrian_variant,alpha1,seed,candidate_budget_M,tau_k,self_consistency_margin,best_mass_ratio,n_rank_cell_mean,n_rank_cell_min,n_rank_cell_max,p_min_cell_mean,released,official_supported,unsupported,utr,audited_ftr_on_labeled_released,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,runtime_sec
OVT-B,GroundingDINO,global,0.1,0,150,14.285714285714286,0.9180776513198197,1.0642654355923875,683.0,683,683,0.0014619883040935672,105,103,2,0.01904761904761905,,0.01904761904761905,0.7,0.0
OVT-B,GroundingDINO,global,0.2,0,150,5.0,4.864783778505613,2.128530871184775,683.0,683,683,0.0014619883040935672,150,148,2,0.013333333333333334,,0.013333333333333334,1.0,0.0
OVT-B,GroundingDINO,global,0.1,1,150,10.0,4.691301762277799,2.042552504794465,655.0,655,655,0.0015243902439024389,150,146,4,0.02666666666666667,,0.02666666666666667,1.0,0.0
OVT-B,GroundingDINO,global,0.2,1,150,5.0,9.6913017622778,4.08510500958893,655.0,655,655,0.0015243902439024389,150,146,4,0.02666666666666667,,0.02666666666666667,1.0,0.0
OVT-B,GroundingDINO,global,0.1,2,150,10.0,10.83233802276235,2.895862159947613,660.0,660,660,0.0015128593040847204,150,147,3,0.02,,0.02,1.0,0.0
OVT-B,GroundingDINO,global,0.2,2,150,5.0,15.83233802276235,5.791724319895226,660.0,660,660,0.0015128593040847204,150,147,3,0.02,,0.02,1.0,0.0
OVT-B,GroundingDINO,category,0.1,0,150,,,0.6925117212107906,148.03333333333333,0,228,0.24334239042535985,0,0,0,0.0,,,0.0,0.0
OVT-B,GroundingDINO,category,0.2,0,150,7.731958762886597,1.07475578655081,1.3850234424215813,148.03333333333333,0,228,0.24334239042535985,97,97,0,0.0,,0.0,0.6466666666666666,0.0
OVT-B,GroundingDINO,category,0.1,1,150,14.705882352941176,0.4660261509158854,1.0316897782622803,151.21333333333334,0,222,0.22704932735426003,102,101,1,0.00980392156862745,,0.00980392156862745,0.68,0.0
OVT-B,GroundingDINO,category,0.2,1,150,7.352941176470588,7.818967327386473,2.0633795565245605,151.21333333333334,0,222,0.22704932735426003,102,101,1,0.00980392156862745,,0.00980392156862745,0.68,0.0
OVT-B,GroundingDINO,category,0.1,2,150,,,0.9194056300771097,133.88666666666666,0,213,0.2542616822429906,0,0,0,0.0,,,0.0,0.0
OVT-B,GroundingDINO,category,0.2,2,150,7.978723404255319,6.692643033145369,1.8388112601542195,133.88666666666666,0,213,0.2542616822429906,94,94,0,0.0,,0.0,0.6266666666666667,0.0
OVT-B,GroundingDINO,query_cluster,0.1,0,150,,,0.6925117212107906,148.03333333333333,0,228,0.24334239042535985,0,0,0,0.0,,,0.0,0.0
OVT-B,GroundingDINO,query_cluster,0.2,0,150,7.731958762886597,1.07475578655081,1.3850234424215813,148.03333333333333,0,228,0.24334239042535985,97,97,0,0.0,,0.0,0.6466666666666666,0.0
OVT-B,GroundingDINO,query_cluster,0.1,1,150,14.705882352941176,0.4660261509158854,1.0316897782622803,151.21333333333334,0,222,0.22704932735426003,102,101,1,0.00980392156862745,,0.00980392156862745,0.68,0.0
OVT-B,GroundingDINO,query_cluster,0.2,1,150,7.352941176470588,7.818967327386473,2.0633795565245605,151.21333333333334,0,222,0.22704932735426003,102,101,1,0.00980392156862745,,0.00980392156862745,0.68,0.0
OVT-B,GroundingDINO,query_cluster,0.1,2,150,,,0.9194056300771097,133.88666666666666,0,213,0.2542616822429906,0,0,0,0.0,,,0.0,0.0
OVT-B,GroundingDINO,query_cluster,0.2,2,150,7.978723404255319,6.692643033145369,1.8388112601542195,133.88666666666666,0,213,0.2542616822429906,94,94,0,0.0,,0.0,0.6266666666666667,0.0
OVT-B,GroundingDINO,category_occ,0.1,0,150,,,0.6925117212107906,148.03333333333333,0,228,0.24334239042535985,0,0,0,0.0,,,0.0,0.0
OVT-B,GroundingDINO,category_occ,0.2,0,150,7.731958762886597,1.07475578655081,1.3850234424215813,148.03333333333333,0,228,0.24334239042535985,97,97,0,0.0,,0.0,0.6466666666666666,0.0
OVT-B,GroundingDINO,category_occ,0.1,1,150,14.705882352941176,0.4660261509158854,1.0316897782622803,151.21333333333334,0,222,0.22704932735426003,102,101,1,0.00980392156862745,,0.00980392156862745,0.68,0.0
OVT-B,GroundingDINO,category_occ,0.2,1,150,7.352941176470588,7.818967327386473,2.0633795565245605,151.21333333333334,0,222,0.22704932735426003,102,101,1,0.00980392156862745,,0.00980392156862745,0.68,0.0
OVT-B,GroundingDINO,category_occ,0.1,2,150,,,0.9194056300771097,133.88666666666666,0,213,0.2542616822429906,0,0,0,0.0,,,0.0,0.0
OVT-B,GroundingDINO,category_occ,0.2,2,150,7.978723404255319,6.692643033145369,1.8388112601542195,133.88666666666666,0,213,0.2542616822429906,94,94,0,0.0,,0.0,0.6266666666666667,0.0
TAO,GroundingDINO,global,0.1,0,150,,,0.9285384167460573,588.0,588,588,0.0016977928692699488,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,global,0.2,0,150,5.0,0.8830477432534183,1.8570768334921146,588.0,588,588,0.0016977928692699488,150,145,5,0.03333333333333333,0.2,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,global,0.1,1,150,,,0.8093592416999075,590.0,590,590,0.0016920473773265647,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,global,0.2,1,150,5.0,0.8988670400788825,1.618718483399815,590.0,590,590,0.0016920473773265647,150,145,5,0.03333333333333333,0.0,0.02666666666666667,1.0,0.0
