method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,dataset,generator
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,985.0,973.0,12.0,973.0,973.0,973.0,12.0,0.0,0.5,0.1453190277219253,0.0010141987829614,0.0010266940451745,0.0010266940451745,15.70031846810805,15.604486534327236,10.0,True,15.604486534327236,8.702999820168234,10,10.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,21137.0,,,10.0,10.0,-4.7985044885575885,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,OVT-B,OWLv2-smallM
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,985.0,973.0,12.0,973.0,973.0,973.0,12.0,0.0,0.5,0.1453190277219253,0.0010141987829614,0.0010266940451745,0.0010266940451745,15.70031846810805,15.604486534327236,10.0,True,15.604486534327236,6.362089649418502,25,25.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,21137.0,,,25.0,10.0,-6.098878366418191,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,OVT-B,OWLv2-smallM
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,985.0,973.0,12.0,973.0,973.0,973.0,12.0,0.0,0.5,0.1453190277219253,0.0010141987829614,0.0010266940451745,0.0010266940451745,15.70031846810805,15.604486534327236,10.0,True,15.604486534327236,4.74119054139297,50,50.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,21137.0,,,50.0,10.0,-7.468618018385588,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,OVT-B,OWLv2-smallM
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,985.0,973.0,12.0,973.0,973.0,973.0,12.0,0.0,0.5,0.1453190277219253,0.0010141987829614,0.0010266940451745,0.0010266940451745,15.70031846810805,15.604486534327236,10.0,True,15.604486534327236,3.920697775538869,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,21137.0,,,75.0,10.0,-7.856558929515087,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,OVT-B,OWLv2-smallM
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,985.0,973.0,12.0,973.0,973.0,973.0,12.0,0.0,0.5,0.1453190277219253,0.0010141987829614,0.0010266940451745,0.0010266940451745,15.70031846810805,15.604486534327236,10.0,True,15.604486534327236,3.43507636901367,100,100.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,21137.0,,,100.0,10.0,-8.107678052512952,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,OVT-B,OWLv2-smallM
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,985.0,973.0,12.0,973.0,973.0,973.0,12.0,0.0,0.5,0.1453190277219253,0.0010141987829614,0.0010266940451745,0.0010266940451745,15.70031846810805,15.604486534327236,10.0,True,15.604486534327236,3.1111973237435784,125,125.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,21137.0,,,125.0,10.0,-8.25536536776321,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,OVT-B,OWLv2-smallM
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,985.0,973.0,12.0,973.0,973.0,973.0,12.0,0.0,0.5,0.1453190277219253,0.0010141987829614,0.0010266940451745,0.0010266940451745,15.70031846810805,15.604486534327236,10.0,True,15.604486534327236,2.851663191877856,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,21137.0,,,150.0,10.0,-8.551159797964425,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,OVT-B,OWLv2-smallM
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,985.0,973.0,12.0,973.0,973.0,973.0,12.0,0.0,0.1453190277219253,0.1453190277219253,0.0010141987829614,0.0010266940451745,0.0010266940451745,52.61773096078649,52.069925759461306,10.0,True,52.069925759461306,21.266313457249943,10,10.0,0.0,5,0,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.5,0.0,21137.0,20.0,0.3610654803730568,2.0,50.0,2.069925759461306,20.361065480373057,33.04460959200836,52.069925759461306,,,0,certified_or_core_baseline,,,OVT-B,OWLv2-smallM
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,985.0,973.0,12.0,973.0,973.0,973.0,12.0,0.0,0.1453190277219253,0.1453190277219253,0.0010141987829614,0.0010266940451745,0.0010266940451745,52.61773096078649,52.069925759461306,10.0,True,52.069925759461306,12.694715459246016,25,25.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,21137.0,,,23.0,10.869565217391305,-5.054952804807368,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,OVT-B,OWLv2-smallM
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,985.0,973.0,12.0,973.0,973.0,973.0,12.0,0.0,0.1453190277219253,0.1453190277219253,0.0010141987829614,0.0010266940451745,0.0010266940451745,52.61773096078649,52.069925759461306,10.0,True,52.069925759461306,8.024326376154358,50,50.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,21137.0,,,50.0,10.0,-7.675251489527143,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,OVT-B,OWLv2-smallM
