dataset,generator,seed,n_calib_requested,n_rank_denominator,p_min_effective,gamma_star_eff,gamma_used,emax_effective,emax_gamma05,candidate_budget_M,released,tau_k,self_consistency_margin
OVT-B,GroundingDINO,0,100,68,0.014492753623188406,0.23617733727628992,0.23617733727628992,5.995050292964696,4.153311931459037,150,0,,
OVT-B,GroundingDINO,0,200,131,0.007575757575757576,0.204800443649844,0.204800443649844,9.945127204526983,5.744562646538029,150,0,,
OVT-B,GroundingDINO,0,500,328,0.00303951367781155,0.17253106214615435,0.17253106214615435,20.881837509197034,9.069178573608527,150,0,,
OVT-B,GroundingDINO,0,full,683,0.0014619883040935672,0.15318726202269928,0.15318726202269928,38.546439933685846,13.076696830622021,150,105,14.285714285714286,0.9180776513198197
OVT-B,GroundingDINO,1,100,58,0.01694915254237288,0.2452460618098304,0.2452460618098304,5.323038065917747,3.840572873934304,150,0,,
OVT-B,GroundingDINO,1,200,121,0.00819672131147541,0.20815895490223127,0.20815895490223127,9.342442800520246,5.522680508593631,150,0,,
OVT-B,GroundingDINO,1,500,314,0.0031746031746031746,0.1738352668944562,0.1738352668944562,20.14438256492164,8.874119674649425,150,148,10.135135135135135,1.2268337223902392
OVT-B,GroundingDINO,1,full,655,0.001524390243902439,0.1541744080264767,0.1541744080264767,37.20674236442314,12.806248474865697,150,150,10.0,4.691301762277799
OVT-B,GroundingDINO,2,100,67,0.014705882352941176,0.23699447183691388,0.23699447183691388,5.92860678248578,4.123105625617661,150,0,,
OVT-B,GroundingDINO,2,200,131,0.007575757575757576,0.204800443649844,0.204800443649844,9.945127204526983,5.744562646538029,150,0,,
OVT-B,GroundingDINO,2,500,319,0.003125,0.1733606712818504,0.1733606712818504,20.408264599127435,8.94427190999916,150,150,10.0,1.5070193356213615
OVT-B,GroundingDINO,2,full,660,0.0015128593040847202,0.1539941341575152,0.1539941341575152,37.44649344759844,12.854960132182441,150,150,10.0,10.83233802276235
TAO,GroundingDINO,0,100,81,0.012195121951219513,0.2269261879165124,0.2269261879165124,6.8454812942271674,4.527692569068709,150,0,,
TAO,GroundingDINO,0,200,160,0.006211180124223602,0.19679598948883448,0.19679598948883448,11.655948980707288,6.34428877022476,150,0,,
TAO,GroundingDINO,0,500,421,0.002369668246445498,0.16542582645512008,0.16542582645512008,25.681552969669372,10.271319292087068,150,0,,
TAO,GroundingDINO,0,full,588,0.001697792869269949,0.15677848597873242,0.15677848597873242,33.97091768583136,12.134661099511597,150,0,,
TAO,GroundingDINO,1,100,82,0.012048192771084338,0.22630370469475658,0.22630370469475658,6.909955874705135,4.55521678957215,150,0,,
TAO,GroundingDINO,1,200,157,0.006329113924050633,0.19752715622645642,0.19752715622645642,11.481256416106127,6.284902544988268,150,0,,
TAO,GroundingDINO,1,500,418,0.002386634844868735,0.1656212948674457,0.1656212948674457,25.529112479407242,10.23474474522936,150,0,,
TAO,GroundingDINO,1,full,590,0.001692047377326565,0.15669520983879004,0.15669520983879004,34.068163221773965,12.155245781143218,150,0,,
TAO,GroundingDINO,2,100,82,0.012048192771084338,0.22630370469475658,0.22630370469475658,6.909955874705135,4.55521678957215,150,0,,
TAO,GroundingDINO,2,200,159,0.00625,0.1970375865745452,0.1970375865745452,11.59777235821014,6.324555320336758,150,0,,
TAO,GroundingDINO,2,500,421,0.002369668246445498,0.16542582645512008,0.16542582645512008,25.681552969669372,10.271319292087068,150,0,,
TAO,GroundingDINO,2,full,584,0.0017094017094017094,0.15694615804860262,0.15694615804860262,33.776299976401,12.093386622447824,150,0,,
