Dataset,Generator,Alpha,Seeds,NonEmptySeeds,ReleasedMean,ReleasedMax,UTRMean,ConservativeFTRMean,MarginMean,MatrixPath
OVT-B,GroundingDINO,0.1,3,1,42.0,126.0,0.026455026455026436,0.0,0.0022125711540373332,<PARC_ROOT>/outputs/phase3_ovtb/ovtb_alpha_seed_m_matrix.csv
OVT-B,OWL-ViT v1,0.1,3,0,0.0,0.0,0.0,0.0,0.0,<PARC_ROOT>/outputs/phase4_ovtb_owlvit/ovtb_alpha_seed_m_matrix.csv
OVT-B,OWLv2,0.1,3,0,0.0,0.0,0.0,0.0,0.0,<PARC_ROOT>/outputs/phase3_ovtb_owlv2/ovtb_alpha_seed_m_matrix.csv
OVT-B,GroundingDINO,0.2,3,2,100.0,150.0,0.042222222222222196,0.0,1.3033397461803828,<PARC_ROOT>/outputs/phase3_ovtb/ovtb_alpha_seed_m_matrix.csv
OVT-B,OWL-ViT v1,0.2,3,0,0.0,0.0,0.0,0.0,0.0,<PARC_ROOT>/outputs/phase4_ovtb_owlvit/ovtb_alpha_seed_m_matrix.csv
OVT-B,OWLv2,0.2,3,0,0.0,0.0,0.0,0.0,0.0,<PARC_ROOT>/outputs/phase3_ovtb_owlv2/ovtb_alpha_seed_m_matrix.csv
TAO,GroundingDINO,0.1,3,0,0.0,0.0,0.0,0.0,0.0,<PARC_ROOT>/outputs/phase3_tao_full/tao_alpha_seed_m_matrix.csv
TAO,OWL-ViT v1,0.1,3,0,0.0,0.0,0.0,0.0,0.0,<PARC_ROOT>/outputs/phase4_tao_owlvit/tao_alpha_seed_m_matrix.csv
TAO,OWLv2,0.1,3,0,0.0,0.0,0.0,0.0,0.0,<PARC_ROOT>/outputs/phase3_tao_owlv2/tao_alpha_seed_m_matrix.csv
TAO,GroundingDINO,0.2,3,3,147.33333333333334,150.0,0.024569640062597764,0.0,0.5994989182711778,<PARC_ROOT>/outputs/phase3_tao_full/tao_alpha_seed_m_matrix.csv
TAO,OWL-ViT v1,0.2,3,0,0.0,0.0,0.0,0.0,0.0,<PARC_ROOT>/outputs/phase4_tao_owlvit/tao_alpha_seed_m_matrix.csv
TAO,OWLv2,0.2,3,0,0.0,0.0,0.0,0.0,0.0,<PARC_ROOT>/outputs/phase3_tao_owlv2/tao_alpha_seed_m_matrix.csv
