tracker,dataset,method,base_method,alpha1,seed,M_requested,M_effective,candidate_budget_M,real_test_candidates,raw_release,parc_release,mass_ratio,best_mass_ratio,self_consistency_margin,HOTA,IDF1,MOTA,released,official_supported,unsupported,utr,audited_ftr_on_labeled_released,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,runtime_sec,audit_policy,empty_block_policy,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,real_candidate_count,dummy_paths,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,audited_ftr_supported_plus_labeled,verified_positive_removed,null_superset_size,tau_k,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,source_matrix
ovtb_baseline,ovtb,raw_tracker_topM,raw_tracker_topM,0.1,0,150,150,150,121153,150.0,,,,,,,,150,95,55,0.3666666666666666,,0.3666666666666666,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/ovtb/published_tracker_alpha_seed_matrix.csv
ovtb_baseline,ovtb,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.1,0,150,150,150,121153,,0.0,0.2523602974037985,0.2523602974037985,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,986.0,986.0,0.0,986.0,986.0,986.0,0.0,0.0,0.1450395732182373,0.1450395732182373,0.0010131712259371,0.0010131712259371,0.0010131712259371,52.66343514041087,52.66343514040716,10.0,True,16.097992354789277,5.041285680169433,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,166897.0,,150.0,10.0,-7.79888461438364,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/ovtb/published_tracker_alpha_seed_matrix.csv
ovtb_baseline,ovtb,raw_tracker_topM,raw_tracker_topM,0.1,1,150,150,150,125956,150.0,,,,,,,,150,100,50,0.3333333333333333,,0.3333333333333333,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/ovtb/published_tracker_alpha_seed_matrix.csv
ovtb_baseline,ovtb,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.1,1,150,150,150,125956,,0.0,0.1720718080442748,0.1720718080442748,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,986.0,986.0,0.0,986.0,986.0,986.0,0.0,0.0,0.1450395732182373,0.1450395732182373,0.0010131712259371,0.0010131712259371,0.0010131712259371,52.66343514041087,52.66343514040716,10.0,True,52.66343514040716,5.433214914476844,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,150835.0,,150.0,10.0,-8.589523091511275,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/ovtb/published_tracker_alpha_seed_matrix.csv
ovtb_baseline,ovtb,raw_tracker_topM,raw_tracker_topM,0.1,2,150,150,150,118470,150.0,,,,,,,,150,78,72,0.48,,0.48,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/ovtb/published_tracker_alpha_seed_matrix.csv
ovtb_baseline,ovtb,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.1,2,150,150,150,118470,,0.0,0.2523437447338315,0.2523437447338315,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,986.0,986.0,0.0,986.0,986.0,986.0,0.0,0.0,0.1450395732182373,0.1450395732182373,0.0010131712259371,0.0010131712259371,0.0010131712259371,52.66343514041087,52.66343514040716,10.0,True,52.66343514040716,6.790802794169018,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,166844.0,,150.0,10.0,-8.28774691968707,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/ovtb/published_tracker_alpha_seed_matrix.csv
ovtb_baseline,ovtb,raw_tracker_topM,raw_tracker_topM,0.2,0,150,150,150,121153,150.0,,,,,,,,150,95,55,0.3666666666666666,,0.3666666666666666,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/ovtb/published_tracker_alpha_seed_matrix.csv
ovtb_baseline,ovtb,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.2,0,150,150,150,121153,,0.0,0.504720594807597,0.504720594807597,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,986.0,986.0,0.0,986.0,986.0,986.0,0.0,0.0,0.1450395732182373,0.1450395732182373,0.0010131712259371,0.0010131712259371,0.0010131712259371,52.66343514041087,52.66343514040716,5.0,True,16.097992354789277,5.041285680169433,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,166897.0,,150.0,5.0,-2.79888461438364,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/ovtb/published_tracker_alpha_seed_matrix.csv
ovtb_baseline,ovtb,raw_tracker_topM,raw_tracker_topM,0.2,1,150,150,150,125956,150.0,,,,,,,,150,100,50,0.3333333333333333,,0.3333333333333333,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/ovtb/published_tracker_alpha_seed_matrix.csv
ovtb_baseline,ovtb,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.2,1,150,150,150,125956,,0.0,0.3441436160885497,0.3441436160885497,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,986.0,986.0,0.0,986.0,986.0,986.0,0.0,0.0,0.1450395732182373,0.1450395732182373,0.0010131712259371,0.0010131712259371,0.0010131712259371,52.66343514041087,52.66343514040716,5.0,True,52.66343514040716,5.433214914476844,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,150835.0,,150.0,5.0,-3.5895230915112752,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/ovtb/published_tracker_alpha_seed_matrix.csv
ovtb_baseline,ovtb,raw_tracker_topM,raw_tracker_topM,0.2,2,150,150,150,118470,150.0,,,,,,,,150,78,72,0.48,,0.48,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/ovtb/published_tracker_alpha_seed_matrix.csv
ovtb_baseline,ovtb,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.2,2,150,150,150,118470,,0.0,0.504687489467663,0.504687489467663,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,986.0,986.0,0.0,986.0,986.0,986.0,0.0,0.0,0.1450395732182373,0.1450395732182373,0.0010131712259371,0.0010131712259371,0.0010131712259371,52.66343514041087,52.66343514040716,5.0,True,52.66343514040716,6.790802794169018,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,166844.0,,150.0,5.0,-3.28774691968707,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/ovtb/published_tracker_alpha_seed_matrix.csv
ovtb_baseline,tao,raw_tracker_topM,raw_tracker_topM,0.1,0,150,150,150,262159,150.0,,,,,,,,150,0,150,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/tao/published_tracker_alpha_seed_matrix.csv
ovtb_baseline,tao,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.1,0,150,150,150,262159,,0.0,0.090045649006778,0.090045649006778,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,494.0,494.0,0.0,494.0,494.0,494.0,0.0,0.0,0.161171841453854,0.161171841453854,0.002020202020202,0.002020202020202,0.002020202020202,29.349444448475225,29.349444448474973,10.0,True,29.349444448474973,2.601510814695656,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,337182.0,,150.0,10.0,-9.356379845845996,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/tao/published_tracker_alpha_seed_matrix.csv
ovtb_baseline,tao,raw_tracker_topM,raw_tracker_topM,0.1,1,150,150,150,272949,150.0,,,,,,,,150,0,150,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/tao/published_tracker_alpha_seed_matrix.csv
ovtb_baseline,tao,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.1,1,150,150,150,272949,,0.0,0.0972975855898529,0.0972975855898529,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,494.0,494.0,0.0,494.0,494.0,494.0,0.0,0.0,0.161171841453854,0.161171841453854,0.002020202020202,0.002020202020202,0.002020202020202,29.349444448475225,29.349444448474973,10.0,True,11.678233149770156,2.34923797635728,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,329436.0,,150.0,10.0,-9.178301955719292,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtb_baseline/tao/published_tracker_alpha_seed_matrix.csv
