method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,selection_protocol
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,708.0,591.0,117.0,591.0,591.0,591.0,117.0,0.0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891,0.0016891891891891,13.313526955694432,12.16552506059644,10.0,True,12.16552506059644,6.997518763885249,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2753.0,,,147.0,10.20408163265306,-6.148906612454248,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,708.0,591.0,117.0,591.0,591.0,591.0,117.0,0.0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891,0.0016891891891891,39.72122294384446,34.11677023775056,10.0,True,34.11677023775056,14.659577593529882,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2753.0,,,127.0,11.811023622047244,-4.2823765114978505,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,708.0,588.0,120.0,588.0,588.0,588.0,120.0,0.0,0.1567784859787324,0.1567784859787324,0.001410437235543,0.0016977928692699,0.0016977928692699,39.72031650906805,33.97091768583136,10.0,True,33.97091768583136,17.12796617807508,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,41.0,2712.0,,,94.0,15.957446808510635,-2.505399926155592,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,145,5,,,,,,,,,0.0333333333333333,0.2,,0.9733333333333334,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001581395044922,score_threshold_from_calibration_null_quantile,fixed_M_protocol_not_tune_selected
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,145,5,,,,,,,,,0.0333333333333333,0.2,,0.9733333333333334,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001583714038133,tracklet_level_p_bh,fixed_M_protocol_not_tune_selected
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.000343469902873,tracklet_level_e_self_consistency,fixed_M_protocol_not_tune_selected
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.0003168499097228,block_evalue_post_filter,fixed_M_protocol_not_tune_selected
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,145,5,,,,,,,,,0.0333333333333333,0.2,,0.9733333333333334,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001436406746506,top_m_by_score_no_risk_control,fixed_M_protocol_not_tune_selected
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,708.0,595.0,113.0,595.0,595.0,595.0,113.0,0.0,0.5,0.1564886288483465,0.001410437235543,0.0016778523489932,0.0016778523489932,13.313526955694432,12.206555615733704,10.0,True,12.206555615733704,7.192590621333613,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2746.0,,,150.0,10.0,-5.931148128088766,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,1,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,708.0,595.0,113.0,595.0,595.0,595.0,113.0,0.0,0.1564886288483465,0.1564886288483465,0.001410437235543,0.0016778523489932,0.0016778523489932,39.72238348169974,34.311093800927324,10.0,True,34.311093800927324,15.373729008551068,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2746.0,,,150.0,10.0,-4.623246139859446,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,1,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
