tracker,method,status,HOTA,HOTA_0,DetA,AssA,LocA,MOTA,MOTP,CLR_TP,CLR_FP,CLR_FN,IDSW,IDF1,IDP,IDR,dataset,generator,alpha1,seed,candidate_budget_M,benchmark,num_sequences,gt_rows,tracker_rows,selected_count
PARC_a0p1_s0_m150,PARC,success,0.0340538283006149,0.034783059793054,0.0028579464969193,0.4059125433986342,0.9551074864062226,0.0029068937821827,0.9504949277869998,721.0,3.0,244558.0,5.0,0.005804807258448,0.9861878453038674,0.0029109707720595,OVT-B,GroundingDINO,0.1,0,150,PARC_OVTB_GroundingDINO_a0p1_s0_m150,787,245279,724,105
confidence_top_m_a0p1_s0_m150,confidence_top_m,success,0.0397861355537651,0.0406355305924471,0.0040559300277998,0.3904621103457137,0.9549927794168008,0.0041381447249866,0.9505237990612332,1024.0,3.0,244255.0,6.0,0.0082417805493979,0.988315481986368,0.0041381447249866,OVT-B,GroundingDINO,0.1,0,150,PARC_OVTB_GroundingDINO_a0p1_s0_m150,787,245279,1027,150
PARC_a0p1_s1_m150,PARC,success,0.036227324082894,0.0370529581024752,0.0033250474691127,0.3948951177168299,0.9577595044853776,0.0032612224945854,0.9541522223679858,956.0,13.0,279307.0,29.0,0.0066137566137566,0.959752321981424,0.0033183117286263,OVT-B,GroundingDINO,0.1,1,150,PARC_OVTB_GroundingDINO_a0p1_s1_m150,787,280263,969,150
confidence_top_m_a0p1_s1_m150,confidence_top_m,success,0.036227324082894,0.0370529581024752,0.0033250474691127,0.3948951177168299,0.9577595044853776,0.0032612224945854,0.9541522223679858,956.0,13.0,279307.0,29.0,0.0066137566137566,0.959752321981424,0.0033183117286263,OVT-B,GroundingDINO,0.1,1,150,PARC_OVTB_GroundingDINO_a0p1_s1_m150,787,280263,969,150
PARC_a0p1_s2_m150,PARC,success,0.0416944324041528,0.0427890815944158,0.0042942904098018,0.4050585785409192,0.9535155671906452,0.0042750664217827,0.9494430033750276,991.0,14.0,223333.0,18.0,0.0086451366668293,0.9691542288557214,0.0043419339883382,OVT-B,GroundingDINO,0.1,2,150,PARC_OVTB_GroundingDINO_a0p1_s2_m150,787,224324,1005,150
confidence_top_m_a0p1_s2_m150,confidence_top_m,success,0.0416944324041528,0.0427890815944158,0.0042942904098018,0.4050585785409192,0.9535155671906452,0.0042750664217827,0.9494430033750276,991.0,14.0,223333.0,18.0,0.0086451366668293,0.9691542288557214,0.0043419339883382,OVT-B,GroundingDINO,0.1,2,150,PARC_OVTB_GroundingDINO_a0p1_s2_m150,787,224324,1005,150
PARC_a0p2_s0_m150,PARC,success,0.0397861355537651,0.0406355305924471,0.0040559300277998,0.3904621103457137,0.9549927794168008,0.0041381447249866,0.9505237990612332,1024.0,3.0,244255.0,6.0,0.0082417805493979,0.988315481986368,0.0041381447249866,OVT-B,GroundingDINO,0.2,0,150,PARC_OVTB_GroundingDINO_a0p2_s0_m150,787,245279,1027,150
confidence_top_m_a0p2_s0_m150,confidence_top_m,success,0.0397861355537651,0.0406355305924471,0.0040559300277998,0.3904621103457137,0.9549927794168008,0.0041381447249866,0.9505237990612332,1024.0,3.0,244255.0,6.0,0.0082417805493979,0.988315481986368,0.0041381447249866,OVT-B,GroundingDINO,0.2,0,150,PARC_OVTB_GroundingDINO_a0p2_s0_m150,787,245279,1027,150
PARC_a0p2_s1_m150,PARC,success,0.036227324082894,0.0370529581024752,0.0033250474691127,0.3948951177168299,0.9577595044853776,0.0032612224945854,0.9541522223679858,956.0,13.0,279307.0,29.0,0.0066137566137566,0.959752321981424,0.0033183117286263,OVT-B,GroundingDINO,0.2,1,150,PARC_OVTB_GroundingDINO_a0p2_s1_m150,787,280263,969,150
confidence_top_m_a0p2_s1_m150,confidence_top_m,success,0.036227324082894,0.0370529581024752,0.0033250474691127,0.3948951177168299,0.9577595044853776,0.0032612224945854,0.9541522223679858,956.0,13.0,279307.0,29.0,0.0066137566137566,0.959752321981424,0.0033183117286263,OVT-B,GroundingDINO,0.2,1,150,PARC_OVTB_GroundingDINO_a0p2_s1_m150,787,280263,969,150
PARC_a0p2_s2_m150,PARC,success,0.0416944324041528,0.0427890815944158,0.0042942904098018,0.4050585785409192,0.9535155671906452,0.0042750664217827,0.9494430033750276,991.0,14.0,223333.0,18.0,0.0086451366668293,0.9691542288557214,0.0043419339883382,OVT-B,GroundingDINO,0.2,2,150,PARC_OVTB_GroundingDINO_a0p2_s2_m150,787,224324,1005,150
confidence_top_m_a0p2_s2_m150,confidence_top_m,success,0.0416944324041528,0.0427890815944158,0.0042942904098018,0.4050585785409192,0.9535155671906452,0.0042750664217827,0.9494430033750276,991.0,14.0,223333.0,18.0,0.0086451366668293,0.9691542288557214,0.0043419339883382,OVT-B,GroundingDINO,0.2,2,150,PARC_OVTB_GroundingDINO_a0p2_s2_m150,787,224324,1005,150
