element,reference_energy_per_atom
Ac,-4.10293308572181
Ag,-2.8434793291245692
Al,-3.781287521893305
As,-4.688354492584383
Au,-3.2864566558784287
B,-6.716804667937548
Ba,-1.9466074895805767
Be,-3.79826474630234
Bi,-3.842223798508449
Br,-1.5516512818965535
C,-9.267725950632801
Ca,-1.9877378527044427
Cd,-0.9176943883248023
Ce,-5.920722168576211
Cl,-1.8534808237641158
Co,-7.130869539648263
Cr,-9.679613831279195
Cs,-0.9445065763141662
Cu,-4.09761404676102
Dy,-4.595493896239052
Er,-4.571513049158115
Eu,-10.249701685137317
F,-1.9133077561232963
Fe,-8.496241022825126
Ga,-3.051827643873403
Gd,-14.080246465856074
Ge,-4.622025858127361
H,-3.396109323158289
Hf,-9.948930206868052
Hg,-0.31204608246055177
Ho,-4.589942001730529
I,-1.4908344426154105
In,-2.7757505983546635
Ir,-8.88193471201269
K,-1.1214446710552142
La,-4.928198779272428
Li,-1.9165506273622717
Lu,-4.530628736947214
Mg,-1.5871530416129662
Mn,-9.188748243468318
Mo,-10.78908838175389
N,-8.309251476562862
Na,-1.3200569471495454
Nb,-10.160181220938572
Nd,-4.759982308184502
Ni,-5.822283190548205
Np,-12.925892632939869
O,-4.931861272149768
Os,-11.319159059844056
P,-5.4431657424360385
Pb,-3.72910324481713
Pd,-5.199145283823899
Pm,-4.812744271589451
Pr,-4.771297812749959
Pt,-6.132541000435418
Pu,-13.92567750690476
Rb,-0.9810970755292131
Re,-12.474151320726246
Rh,-7.410594509564388
Ru,-9.350897564737288
S,-4.171927277095242
Sb,-4.102348324766743
Sc,-6.365422290802073
Se,-3.5057684013417783
Si,-5.447910208603673
Sm,-4.691571687590003
Sn,-4.019217491662668
Sr,-1.6826982953797194
Ta,-11.928294875013941
Tb,-4.636208180830882
Tc,-10.415033257010512
Te,-3.174330285439829
Th,-7.47270278393342
Ti,-7.9379642792535225
Tl,-2.406750207654164
Tm,-4.470016537296992
U,-11.303818549670847
V,-9.070015927317344
W,-12.909522852180892
Xe,-0.05749633722973241
Y,-6.470144209054245
Yb,-1.511342733994431
Zn,-1.3108551140438138
Zr,-8.591316532182713
