candidate_id,source,formula,n_sites,block_id,stable_DFT,e_form_per_atom_mp2020_corrected,structure_ref,structure_sha256,chgnet_energy_per_atom,score_status,element_reference_energy_per_atom,predicted_formation_energy_proxy,frozen_model_score
wbm-1-1,WBM_step1_one_per_composition_family,Ac6 U2,8.0,2|Ac-U,False,0.544327,step_1.json.bz2::entry_0,,-5.352057933807373,scored,-5.903154476670281,0.5510965428629078,-0.5510965428629078
wbm-1-2,WBM_step1_one_per_composition_family,Ac1 Th3,4.0,2|Ac-Th,False,0.12619,step_1.json.bz2::entry_1,,-6.496851444244385,scored,-6.63026036283438,0.13340891858999537,-0.13340891858999537
wbm-1-4,WBM_step1_one_per_composition_family,Ag2 Au1 Hg1,4.0,3|Ag-Au,False,0.032195,step_1.json.bz2::entry_3,,-2.2962279319763184,scored,-2.3213653598135036,0.0251374278371852,-0.0251374278371852
wbm-1-5,WBM_step1_one_per_composition_family,Ag2 Ba1 La1,4.0,3|Ag-Ba,False,-0.175452,step_1.json.bz2::entry_4,,-3.3346879482269287,scored,-3.140441222142032,-0.1942467260848968,0.1942467260848968
wbm-1-9,WBM_step1_one_per_composition_family,Ac1 Ag2 Bi1,4.0,3|Ac-Ag,True,-0.323544,step_1.json.bz2::entry_8,,-3.81052303314209,scored,-3.4080288825466365,-0.40249415059545335,0.40249415059545335
wbm-1-10,WBM_step1_one_per_composition_family,Ag4 Bi2,6.0,2|Ag-Bi,False,0.022759,step_1.json.bz2::entry_9,,-3.099569320678711,scored,-3.1763941534229136,0.07682483274420271,-0.07682483274420271
wbm-1-11,WBM_step1_one_per_composition_family,Ag2 Cd1 Hf1,4.0,3|Ag-Cd,False,-0.015905,step_1.json.bz2::entry_10,,-4.1584343910217285,scored,-4.138395791460127,-0.0200385995616017,0.0200385995616017
wbm-1-18,WBM_step1_one_per_composition_family,Ag2 Ce1 Hg1,4.0,3|Ag-Ce,False,-0.160794,step_1.json.bz2::entry_17,,-3.1645631790161133,scored,-2.9799317300631714,-0.18463144895294192,0.18463144895294192
wbm-1-19,WBM_step1_one_per_composition_family,Ag2 Ce1,3.0,2|Ag-Ce,False,-0.095115,step_1.json.bz2::entry_18,,-3.9286906719207764,scored,-3.8692269305011537,-0.05946374141962263,0.05946374141962263
wbm-1-22,WBM_step1_one_per_composition_family,Ag2 Cs1 La1,4.0,3|Ag-Cs,False,0.232153,step_1.json.bz2::entry_21,,-2.7074384689331055,scored,-2.8899160086238593,0.18247753969075386,-0.18247753969075386
wbm-1-23,WBM_step1_one_per_composition_family,Ag8 Cs4,12.0,2|Ag-Cs,False,0.140995,step_1.json.bz2::entry_22,,-2.139399766921997,scored,-2.2104884175236887,0.07108865060169167,-0.07108865060169167
wbm-1-24,WBM_step1_one_per_composition_family,Ag2 Dy1 Tl1,4.0,3|Ag-Dy,False,-0.23526,step_1.json.bz2::entry_23,,-3.4166934490203857,scored,-3.172300689958705,-0.24439275906168056,0.24439275906168056
wbm-1-25,WBM_step1_one_per_composition_family,Ag4 Dy2,6.0,2|Ag-Dy,False,-0.275061,step_1.json.bz2::entry_24,,-3.719877243041992,scored,-3.4274841829996117,-0.2923930600423805,0.2923930600423805
wbm-1-26,WBM_step1_one_per_composition_family,Ag2 Er1 Tl1,4.0,3|Ag-Er,False,-0.219513,step_1.json.bz2::entry_25,,-3.399904727935791,scored,-3.1663054736180998,-0.23359925431769124,0.23359925431769124
wbm-1-27,WBM_step1_one_per_composition_family,Ag4 Er2,6.0,2|Ag-Er,False,-0.266359,step_1.json.bz2::entry_26,,-3.7052197456359863,scored,-3.419490561212137,-0.2857291844238494,0.2857291844238494
wbm-1-28,WBM_step1_one_per_composition_family,Ag2 Eu1,3.0,2|Ag-Eu,False,-0.230078,step_1.json.bz2::entry_27,,-5.537150859832764,scored,-5.312220110041305,-0.22493074979145877,0.22493074979145877
wbm-1-29,WBM_step1_one_per_composition_family,Ag2 Hf1,3.0,2|Ag-Hf,False,-0.002794,step_1.json.bz2::entry_28,,-5.237737655639648,scored,-5.211962922907923,-0.02577473273172526,0.02577473273172526
wbm-1-31,WBM_step1_one_per_composition_family,Ag2 Ho1 Tl1,4.0,3|Ag-Ho,False,-0.227612,step_1.json.bz2::entry_30,,-3.406759262084961,scored,-3.170912717860003,-0.235846544224958,0.235846544224958
