dft_job_id,candidate_id,arm,formula,n_sites,elements,qe_input_path,qe_output_dir,kpoints_grid,ecutwfc_ry,ecutrho_ry,pseudo_files,pseudo_sha256,pw_x,mpirun,selected_before_DFT_outcome,outcome_available,completed_positive_result,claim_scope
a3v4-phase29b-parc-release-full-0001,mattergen_pilot_5k_3gpu_00181,PARC-release-full,Ta10 W6,16,Ta|W,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0001/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0001,4 4 4,60,480,Ta_pbe_v1.uspp.F.UPF|W_pbe_v1.2.uspp.F.UPF,e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1|3cb024d05ba2413340c9e993bc149bf94d44fb23e609642466d87ca30c88c569,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0002,mattergen_pilot_5k_3gpu_02201,PARC-release-full,Y2 Cr3 Si1,6,Cr|Si|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0002/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0002,5 5 5,60,480,cr_pbe_v1.5.uspp.F.UPF|Si.pbe-n-rrkjus_psl.1.0.0.UPF|Y_pbe_v1.uspp.F.UPF,c7449bbfea358d76832cf2f7b43dc89101ead6891806773121bfaa93a140f6de|ae3aefd0811f9499dbc4a72f1f9ae02ef4fc7f3568bf6f559b68668719c69e2b|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0003,mattergen_pilot_5k_3gpu_04274,PARC-release-full,Ta4 Si2 B4,10,B|Si|Ta,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0003/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0003,6 4 4,60,480,b_pbe_v1.4.uspp.F.UPF|Si.pbe-n-rrkjus_psl.1.0.0.UPF|Ta_pbe_v1.uspp.F.UPF,01a3696c14b1b245b9741165ffea38120b879286cddbeb956142f8fa922941ee|ae3aefd0811f9499dbc4a72f1f9ae02ef4fc7f3568bf6f559b68668719c69e2b|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0004,mattergen_pilot_5k_3gpu_03869,PARC-release-full,Pr1 Ta2 Ge2,5,Ge|Pr|Ta,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0004/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0004,6 6 4,60,480,ge_pbe_v1.4.uspp.F.UPF|Pr.GGA-PBE-paw-v1.0.UPF|Ta_pbe_v1.uspp.F.UPF,1b95046ab0f3228e0404719ca66d0309af5a62313be0b22171b963566c90430b|413f709cc7a2b58c104b7b62b3d7fc204a20f186457c95a34c698690f1056a46|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0005,mattergen_pilot_5k_3gpu_03064,PARC-release-full,Y4 C1 S1,6,C|S|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0005/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0005,6 4 3,60,480,C.pbe-n-kjpaw_psl.1.0.0.UPF|s_pbe_v1.4.uspp.F.UPF|Y_pbe_v1.uspp.F.UPF,9900d1efd50b9848e31849f39094b33348486b400ee51e0f3922f716137cf3d7|84ad731864187f416f714e961c3ad2f04dcbf811618e724d277885c18cb470df|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0006,mattergen_pilot_5k_3gpu_00766,PARC-release-full,Ta4 Pt2 O12,18,O|Pt|Ta,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0006/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0006,4 3 4,60,480,O.pbe-n-kjpaw_psl.0.1.UPF|pt_pbe_v1.4.uspp.F.UPF|Ta_pbe_v1.uspp.F.UPF,7c4b6ed541f83d0afdf5c1d3a8c611340f073f3e2b11e95b7963bb2ee26929aa|69f60fd2451b1845888681f987a801a2c45a8df104d0fe0b43ad4cd1c6e3ad81|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0007,mattergen_pilot_5k_3gpu_04856,PARC-release-full,Y8 In2 Co1,11,Co|In|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0007/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0007,5 4 3,60,480,Co_pbe_v1.2.uspp.F.UPF|In.pbe-dn-rrkjus_psl.0.2.2.UPF|Y_pbe_v1.uspp.F.UPF,a5f392a0d35fc78cc9e2ac1636bb1cd02e9b80a063ea368e85be83b0e4523c45|ac76860606654bf63d2950129329ee50267d50ad92296728a7d42e9355bcfb39|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0008,mattergen_pilot_5k_3gpu_03662,PARC-release-full,Ta1 Nb1 O5,7,Nb|O|Ta,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0008/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0008,6 6 4,60,480,Nb.pbe-spn-kjpaw_psl.0.3.0.UPF|O.pbe-n-kjpaw_psl.0.1.UPF|Ta_pbe_v1.uspp.F.UPF,ccf07218ea34daaa63ff57d9f44ca8b4b529728cccbc8f74dd5fc804ac01e48e|7c4b6ed541f83d0afdf5c1d3a8c611340f073f3e2b11e95b7963bb2ee26929aa|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0009,mattergen_pilot_5k_3gpu_04782,PARC-release-full,Y6 Mn1 Si2 O3,12,Mn|O|Si|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0009/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0009,6 3 3,60,480,mn_pbe_v1.5.uspp.F.UPF|O.pbe-n-kjpaw_psl.0.1.UPF|Si.pbe-n-rrkjus_psl.1.0.0.UPF|Y_pbe_v1.uspp.F.UPF,c5b6117e22f571895b69dbec8491df6afb2efee1206dad54680881dbd33eb8f0|7c4b6ed541f83d0afdf5c1d3a8c611340f073f3e2b11e95b7963bb2ee26929aa|ae3aefd0811f9499dbc4a72f1f9ae02ef4fc7f3568bf6f559b68668719c69e2b|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0010,mattergen_pilot_5k_3gpu_01741,PARC-release-full,Y6 Se8,14,Se|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0010/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0010,3 3 3,60,480,Se_pbe_v1.uspp.F.UPF|Y_pbe_v1.uspp.F.UPF,fcb1fe6e9c54d43fd3537f1103b9003ba92975e80c0a0214b21d1bf4abb494c8|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
