candidate_id,formula,reduced_formula,WBM_Matbench_formula_label_available,Materials_Project_label_available,OQMD_label_available,Alexandria_label_available,GNoME_label_available,keep_for_followup,exclusion_reason,evidence_status
mattergen_pilot_5k_3gpu_00000,K2 Al2 Cl8,KAlCl4,True,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,False,wbm_matbench_formula_match,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00001,Ti1 Cd2 Rh1,TiCd2Rh,True,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,False,wbm_matbench_formula_match,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00002,Rb1 Ag1 Sb2 Au1,RbAgSb2Au,False,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,True,,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00003,La6 Cd1 N1,La6CdN,False,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,True,,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00004,Na2 Cu2 S2,NaCuS,True,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,False,wbm_matbench_formula_match,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00005,Na1 Dy1 In2,NaDyIn2,False,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,True,,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00006,Li1 Ag3 F6,LiAg3F6,False,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,True,,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00007,Cr1 Pd2,CrPd2,True,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,False,wbm_matbench_formula_match,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00008,Rb1 Ba1 La2 Te4,RbBa(LaTe2)2,False,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,True,,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00009,Li1 In1 Pb1,LiInPb,True,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,False,wbm_matbench_formula_match,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00010,La1 Tb2 Tm1 Bi4,LaTb2TmBi4,False,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,True,,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00011,Tb2 Ho1,Tb2Ho,False,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,True,,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00012,Pr1 Y3,PrY3,False,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,True,,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00013,Ce1 Pr3 Br10,CePr3Br10,False,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,True,,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00014,K1 In1 Ga2 Au1,KInGa2Au,False,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,True,,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00015,La1 Ta2 Re1 O10,LaTa2ReO10,False,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,True,,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00016,Y1 Er1 Ga1 Hg1,YErGaHg,False,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,True,,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00017,K4 Mn4 Cl12,KMnCl3,True,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,False,wbm_matbench_formula_match,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00018,As6 Au2,As3Au,False,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,unavailable_in_smoke_pilot,True,,smoke_formula_level_public_label_exclusion_only
