K,alpha,best_mass_ratio,construction_rule,evidence_scope,mean_E_CHGNet_fullcal,mean_E_MACE_fullcal,method,release_size,release_threshold_tau,rho,self_consistency_margin,stable_to_current_not_stable_rate,t0_FTR,t1_FTR,t1_original_PARC_minus_method,t1_raw_topK_minus_method,theorem_grade_source_status
300,0.1,nan,existing_membership_from_phase51,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,0.2500828553495806,0.2378111260402313,raw top-K,701,nan,0.1,nan,0.2296718972895863,0.28815977175463625,0.4222539229671897,-0.10646444928297921,0.0,CHGNet_and_MACE_full_calibration_sources_available
300,0.1,nan,existing_membership_from_phase51,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,0.27503969601432243,0.26113588826261674,PARC original release,304,nan,0.1,nan,0.19736842105263158,0.18092105263157895,0.3157894736842105,0.0,0.10646444928297921,CHGNet_and_MACE_full_calibration_sources_available
300,0.1,nan,existing_membership_from_phase51,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,0.27503969601432243,0.26113588826261674,matched raw top-R,304,nan,0.1,nan,0.19736842105263158,0.18092105263157895,0.3157894736842105,0.0,0.10646444928297921,CHGNet_and_MACE_full_calibration_sources_available
300,0.1,nan,existing_membership_from_phase51,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,0.23580165458282065,0.2250608331085554,raw-only extra-tail,541,nan,0.1,nan,0.22920517560073936,0.36229205175600737,0.46950092421441775,-0.15371145053020724,-0.047247001247228027,CHGNet_and_MACE_full_calibration_sources_available
300,0.1,0.028410604590282253,SCS_on_full_calibration_auxiliary_evalues,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,nan,nan,CHGNet-fullcal-only,0,4.279600570613409,0.1,-4.162091462658204,nan,nan,nan,nan,nan,CHGNet_and_MACE_full_calibration_sources_available
300,0.1,0.027897551577597095,SCS_on_full_calibration_auxiliary_evalues,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,nan,nan,MACE-fullcal-only,0,4.279600570613409,0.1,-4.163033124463834,nan,nan,nan,nan,nan,CHGNet_and_MACE_full_calibration_sources_available
300,0.1,0.02817948251915352,SCS_on_full_calibration_auxiliary_evalues,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,nan,nan,CHGNet-MACE-fullcal-equal,0,4.279600570613409,0.1,-4.162562293561019,nan,nan,nan,nan,nan,CHGNet_and_MACE_full_calibration_sources_available
300,0.1,2.7498972856431836,SCS_on_full_calibration_auxiliary_evalues,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,0.30853953617984453,0.2910995445947662,PARC-CHGNet-MACE-fullcal-equal,195,15.384615384615385,0.1,0.9691915487391807,0.2153846153846154,0.08717948717948718,0.29743589743589743,0.018353576248313075,0.12481802553129229,CHGNet_and_MACE_full_calibration_sources_available
300,0.1,4.120504179713937,SCS_on_full_calibration_auxiliary_evalues,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,0.29034267829403754,0.2744851262894733,PARC-CHGNet-MACE-fullcal-rawheavy,231,12.987012987012987,0.1,0.37568903558362976,0.21212121212121213,0.11688311688311688,0.3116883116883117,0.004101161995898828,0.11056561127887804,CHGNet_and_MACE_full_calibration_sources_available
500,0.1,nan,existing_membership_from_phase51,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,0.24468357534186075,0.2310562538907227,raw top-K,1191,nan,0.1,nan,0.23761544920235098,0.3602015113350126,0.4869857262804366,-0.17680054109525145,0.0,CHGNet_and_MACE_full_calibration_sources_available
500,0.1,nan,existing_membership_from_phase51,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,0.2966286211250704,0.28036251460747963,PARC original release,216,nan,0.1,nan,0.21296296296296297,0.1111111111111111,0.3101851851851852,0.0,0.17680054109525145,CHGNet_and_MACE_full_calibration_sources_available
500,0.1,nan,existing_membership_from_phase51,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,0.2966286211250704,0.28036251460747963,matched raw top-R,216,nan,0.1,nan,0.21296296296296297,0.1111111111111111,0.3101851851851852,0.0,0.17680054109525145,CHGNet_and_MACE_full_calibration_sources_available
500,0.1,nan,existing_membership_from_phase51,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,0.23678370808217988,0.2239057898637077,raw-only extra-tail,1053,nan,0.1,nan,0.23836657169990502,0.4045584045584046,0.5175688509021842,-0.207383665716999,-0.03058312462174756,CHGNet_and_MACE_full_calibration_sources_available
500,0.1,0.029011357462675885,SCS_on_full_calibration_auxiliary_evalues,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,nan,nan,CHGNet-fullcal-only,0,4.198152812762384,0.1,-4.080643704807179,nan,nan,nan,nan,nan,CHGNet_and_MACE_full_calibration_sources_available
500,0.1,0.02842893351240847,SCS_on_full_calibration_auxiliary_evalues,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,nan,nan,MACE-fullcal-only,0,4.198152812762384,0.1,-4.081585366612809,nan,nan,nan,nan,nan,CHGNet_and_MACE_full_calibration_sources_available
500,0.1,0.028754449564923287,SCS_on_full_calibration_auxiliary_evalues,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,nan,nan,CHGNet-MACE-fullcal-equal,0,4.198152812762384,0.1,-4.081114535709994,nan,nan,nan,nan,nan,CHGNet_and_MACE_full_calibration_sources_available
