panel,K,support_mode,metric,value,alpha_reference_line,evidence_scope
recertification_K_sweep,10,t1_10pct_support,nonempty_seeds,13.0,0.1,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
recertification_K_sweep,10,t1_10pct_support,safe_seeds,0.0,0.1,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
recertification_K_sweep,10,t1_10pct_support,mean_release_size,5.95,0.1,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
recertification_K_sweep,10,t1_10pct_support,mean_FTR_t1_if_nonempty,0.30192307692307696,0.1,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
recertification_K_sweep,10,t1_10pct_support,mean_raw_pool_FTR_t1,0.275,0.1,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
recertification_K_sweep,10,t1_10pct_support,evidence_mass_phi,1.256197021527933,0.1,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
recertification_K_sweep,10,t1_full_calibration_block_support,nonempty_seeds,3.0,0.1,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
recertification_K_sweep,10,t1_full_calibration_block_support,safe_seeds,0.0,0.1,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
recertification_K_sweep,10,t1_full_calibration_block_support,mean_release_size,1.4,0.1,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
recertification_K_sweep,10,t1_full_calibration_block_support,mean_FTR_t1_if_nonempty,0.4666666666666666,0.1,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
recertification_K_sweep,10,t1_full_calibration_block_support,mean_raw_pool_FTR_t1,0.275,0.1,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
recertification_K_sweep,10,t1_full_calibration_block_support,evidence_mass_phi,0.8094983672960895,0.1,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
recertification_K_sweep,15,t1_10pct_support,nonempty_seeds,5.0,0.1,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
recertification_K_sweep,15,t1_10pct_support,safe_seeds,0.0,0.1,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
