K,alpha,support_mode,rho_t1_positive_support,n_seeds,nonempty_seeds,safe_seeds,mean_release_size,median_release_size,max_release_size,mean_FTR_t1_if_nonempty,mean_FTR_t1_decision_empty_zero,mean_FTR_t0_if_nonempty,mean_raw_pool_FTR_t1,mean_raw_pool_FTR_t0,stable_to_unstable_drift_rate,unstable_to_stable_correction_rate,mean_t0_margin,median_t0_margin,minimum_t0_margin,evidence_mass_phi,max_evalue,required_evalue_threshold,decision,primary_success,recertification_status,claim_status,operational_selector_rule,evidence_scope
10,0.1,t1_10pct_support,0.1,20,13,0,5.95,8.0,10,0.30192307692307696,0.19624999999999998,0.0,0.275,0.0,0.19624999999999998,0.0,2.5157068846153843,2.5376950000000003,1.951794,1.256197021527933,22.894845904468106,11.73611111111111,release,False,versioned_boundary_release_fails_primary_gate,completed_small_K_boundary_release_diagnostic_not_headline,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
10,0.1,t1_full_calibration_block_support,1.0,20,3,0,1.4,0.0,10,0.4666666666666666,0.06999999999999999,0.0,0.275,0.0,0.06999999999999999,0.0,2.5425509833333333,2.6039035,1.951794,0.8094983672960895,14.59524682106274,10.51388888888889,release,False,versioned_boundary_release_fails_primary_gate,completed_small_K_boundary_release_diagnostic_not_headline,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
15,0.1,t1_10pct_support,0.1,20,5,0,3.25,0.0,15,0.36,0.09,0.0,0.2666666666666667,0.0,0.09,0.0,2.459208396666667,2.474685,1.825667,0.9516985581512974,22.894845904468106,12.29202047952048,release,False,versioned_boundary_release_fails_primary_gate,completed_small_K_boundary_release_diagnostic_not_headline,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
15,0.1,t1_full_calibration_block_support,1.0,20,2,0,1.15,0.0,12,0.3977272727272727,0.03977272727272727,0.0,0.2666666666666667,0.0,0.03977272727272727,0.0,2.5008463446969698,2.5779975000000004,1.825667,0.6184021302650865,14.59524682106274,10.922889610389612,release,False,versioned_boundary_release_fails_primary_gate,completed_small_K_boundary_release_diagnostic_not_headline,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
20,0.1,t1_10pct_support,0.1,20,4,0,3.0,0.0,20,0.3201871657754011,0.06403743315508022,0.0,0.275,0.0,0.06403743315508022,0.0,2.434591578230838,2.50619,1.825667,0.7797530860146081,22.894845904468106,11.802881758764112,release,False,versioned_boundary_release_fails_primary_gate,completed_small_K_boundary_release_diagnostic_not_headline,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
20,0.1,t1_full_calibration_block_support,1.0,20,0,0,0.0,0.0,0,,0.0,,0.275,0.0,0.0,0.0,,,,0.5080212691054127,14.59524682106274,10.91253088157113,refusal,False,versioned_refusal,completed_versioned_recertification_refusal_boundary,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
25,0.1,t1_10pct_support,0.1,20,3,0,2.4,0.0,25,0.3318181818181818,0.04977272727272727,0.0,0.2720000000000001,0.0,0.04977272727272727,0.0,2.422707683131313,2.5376950000000003,1.825667,0.6984487477197204,22.894845904468106,11.329545454545455,release,False,versioned_boundary_release_fails_primary_gate,completed_small_K_boundary_release_diagnostic_not_headline,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
25,0.1,t1_full_calibration_block_support,1.0,20,0,0,0.0,0.0,0,,0.0,,0.2720000000000001,0.0,0.0,0.0,,,,0.4554208620601621,14.59524682106274,10.740530303030301,refusal,False,versioned_refusal,completed_versioned_recertification_refusal_boundary,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
50,0.1,t1_10pct_support,0.1,20,1,0,1.95,0.0,39,0.3076923076923077,0.015384615384615385,0.0,0.28800000000000003,0.001,0.015384615384615385,0.0,2.1002166153846153,1.980797,1.583051,0.3866902969075964,22.894845904468106,10.806058320764205,release,False,versioned_boundary_release_fails_primary_gate,completed_small_K_boundary_release_diagnostic_not_headline,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
50,0.1,t1_full_calibration_block_support,1.0,20,0,0,0.0,0.0,0,,0.0,,0.28800000000000003,0.001,0.0,0.0,,,,0.25948906752149414,14.59524682106274,10.14102564102564,refusal,False,versioned_refusal,completed_versioned_recertification_refusal_boundary,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
75,0.1,t1_10pct_support,0.1,20,0,0,0.0,0.0,0,,0.0,,0.2733333333333333,0.044000000000000004,0.0,0.0,,,,0.2591160955152546,22.894845904468106,10.475051975051974,refusal,False,versioned_refusal,completed_versioned_recertification_refusal_boundary,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
75,0.1,t1_full_calibration_block_support,1.0,20,0,0,0.0,0.0,0,,0.0,,0.2733333333333333,0.044000000000000004,0.0,0.0,,,,0.1809976838061866,14.59524682106274,10.006756756756756,refusal,False,versioned_refusal,completed_versioned_recertification_refusal_boundary,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
100,0.1,t1_10pct_support,0.1,20,0,0,0.0,0.0,0,,0.0,,0.30300000000000005,0.10100000000000002,0.0,0.0,,,,0.19441394599725823,22.894845904468106,10.015463917525773,refusal,False,versioned_refusal,completed_versioned_recertification_refusal_boundary,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
100,0.1,t1_full_calibration_block_support,1.0,20,0,0,0.0,0.0,0,,0.0,,0.30300000000000005,0.10100000000000002,0.0,0.0,,,,0.13979378177891957,14.59524682106274,10.0,refusal,False,versioned_refusal,completed_versioned_recertification_refusal_boundary,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
150,0.1,t1_10pct_support,0.1,20,0,0,0.0,0.0,0,,0.0,,0.32666666666666666,0.17366666666666666,0.0,0.0,,,,0.1297696452812765,22.894845904468106,10.0,refusal,False,versioned_refusal,completed_versioned_recertification_refusal_boundary,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
150,0.1,t1_full_calibration_block_support,1.0,20,0,0,0.0,0.0,0,,0.0,,0.32666666666666666,0.17366666666666666,0.0,0.0,,,,0.09459199795685945,14.59524682106274,10.0,refusal,False,versioned_refusal,completed_versioned_recertification_refusal_boundary,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
200,0.1,t1_10pct_support,0.1,20,0,0,0.0,0.0,0,,0.0,,0.356,0.2165,0.0,0.0,,,,0.09734136570043178,22.894845904468106,10.0,refusal,False,versioned_refusal,completed_versioned_recertification_refusal_boundary,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
200,0.1,t1_full_calibration_block_support,1.0,20,0,0,0.0,0.0,0,,0.0,,0.356,0.2165,0.0,0.0,,,,0.07168450755428414,14.59524682106274,10.0,refusal,False,versioned_refusal,completed_versioned_recertification_refusal_boundary,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
300,0.1,t1_10pct_support,0.1,20,0,0,0.0,0.0,0,,0.0,,0.39533333333333337,0.2685,0.0,0.0,,,,0.06507703451636111,22.894845904468106,10.0,refusal,False,versioned_refusal,completed_versioned_recertification_refusal_boundary,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
300,0.1,t1_full_calibration_block_support,1.0,20,0,0,0.0,0.0,0,,0.0,,0.39533333333333337,0.2685,0.0,0.0,,,,0.04845978866233691,14.59524682106274,10.0,refusal,False,versioned_refusal,completed_versioned_recertification_refusal_boundary,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
500,0.1,t1_10pct_support,0.1,20,0,0,0.0,0.0,0,,0.0,,0.479,0.34090000000000004,0.0,0.0,,,,0.039250977306171955,22.894845904468106,10.0,refusal,False,versioned_refusal,completed_versioned_recertification_refusal_boundary,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
500,0.1,t1_full_calibration_block_support,1.0,20,0,0,0.0,0.0,0,,0.0,,0.479,0.34090000000000004,0.0,0.0,,,,0.029398525088250804,14.59524682106274,10.0,refusal,False,versioned_refusal,completed_versioned_recertification_refusal_boundary,report_all_K;optional_selector_largest_K_with_nonempty_ge18_seeds_using_calibration_only,completed_certificate_durability_frontier;queue_limited_current_MP_t1_recertification;reports_all_predeclared_K_values;not_strict_t1_alpha_certificate_for_old_release;not_full_WBM_recertification;not_DFT_evidence;not_prospective_discovery;historical_drift_tail_not_future_guarantee
