element,pseudo_file,pseudo_path,pseudo_sha256,status,source
Ac,Ac.pbe-spfn-kjpaw_psl.1.0.0.UPF,pseudos/Ac.pbe-spfn-kjpaw_psl.1.0.0.UPF,c3b3cb9c817eb7a3f658d1650949106852db0eeecbaa6833142aadacc0eab5ac,available,downloaded_QE_upf_files
Ag,Ag_ONCV_PBE-1.0.oncvpsp.upf,pseudos/Ag_ONCV_PBE-1.0.oncvpsp.upf,0494aa5927b754b42d3e72535636f215b4658e9b437e639dbc09674c36c8059a,available,local_SSSP_efficiency_cache
Al,Al.pbe-n-kjpaw_psl.1.0.0.UPF,pseudos/Al.pbe-n-kjpaw_psl.1.0.0.UPF,fd7b78921e6d0939095b681c328732668eaefd1dee6882fdbc03be463550cc97,available,local_SSSP_efficiency_cache
As,As.pbe-n-rrkjus_psl.0.2.UPF,pseudos/As.pbe-n-rrkjus_psl.0.2.UPF,5b31b3d612abd028d3a9ab896bf6de95d455080ad415d21f1011e130342b4434,available,local_SSSP_efficiency_cache
Au,Au_ONCV_PBE-1.0.oncvpsp.upf,pseudos/Au_ONCV_PBE-1.0.oncvpsp.upf,3c3760361623288c265c193dddce2d5c6ced6f95bdb9138307530d51bc5ca9f0,available,local_SSSP_efficiency_cache
Ba,Ba.pbe-spn-kjpaw_psl.1.0.0.UPF,pseudos/Ba.pbe-spn-kjpaw_psl.1.0.0.UPF,315a2af416c5906cdff071f5f8e59cfdff912f3c488be1be2cb2f1a044ec7c64,available,local_SSSP_efficiency_cache
Bi,Bi_pbe_v1.uspp.F.UPF,pseudos/Bi_pbe_v1.uspp.F.UPF,56e4e097a6b5a74149ba3b3bb75c03f2b022b509f53767143653dcd7b079e97d,available,local_SSSP_efficiency_cache
Br,br_pbe_v1.4.uspp.F.UPF,pseudos/br_pbe_v1.4.uspp.F.UPF,611dc0ac2804aed2e5b8a3c138f272b2a4e131009aad5279454170f948176951,available,local_SSSP_efficiency_cache
Ca,Ca_pbe_v1.uspp.F.UPF,pseudos/Ca_pbe_v1.uspp.F.UPF,5887acb75823f7f92df1b3117fece4e43498cafccaaaf9cfa653615af1a20d6e,available,local_SSSP_efficiency_cache
Cd,Cd.pbe-dn-rrkjus_psl.0.3.1.UPF,pseudos/Cd.pbe-dn-rrkjus_psl.0.3.1.UPF,eb5553c18543c409454926825f7653c985cd40a24993a26d37a913d6f4d40b8c,available,local_SSSP_efficiency_cache
Ce,Ce.GGA-PBE-paw-v1.0.UPF,pseudos/Ce.GGA-PBE-paw-v1.0.UPF,2682b4bd433cbd14b97dd0e7f803271508ae07d9b1d256c8d759bdd7c3280ca0,available,local_SSSP_efficiency_cache
Cl,cl_pbe_v1.4.uspp.F.UPF,pseudos/cl_pbe_v1.4.uspp.F.UPF,5b1ebdea1e5ba743fba0100806206287e1f7f00460c7e6f19791446beaee0655,available,local_SSSP_efficiency_cache
Co,Co_pbe_v1.2.uspp.F.UPF,pseudos/Co_pbe_v1.2.uspp.F.UPF,a5f392a0d35fc78cc9e2ac1636bb1cd02e9b80a063ea368e85be83b0e4523c45,available,local_SSSP_efficiency_cache
Cr,cr_pbe_v1.5.uspp.F.UPF,pseudos/cr_pbe_v1.5.uspp.F.UPF,c7449bbfea358d76832cf2f7b43dc89101ead6891806773121bfaa93a140f6de,available,local_SSSP_efficiency_cache
Cs,Cs_pbe_v1.uspp.F.UPF,pseudos/Cs_pbe_v1.uspp.F.UPF,5039c3123828de0c626459254b67b6637225866dd81d5ee1d855e26f99d3ac2c,available,local_SSSP_efficiency_cache
Cu,Cu_pbe_v1.2.uspp.F.UPF,pseudos/Cu_pbe_v1.2.uspp.F.UPF,9dede247b34c656925badd5241675d0ad77e199249917cd4a927bf0a2e2ab004,available,local_SSSP_efficiency_cache
Dy,Dy.GGA-PBE-paw-v1.0.UPF,pseudos/Dy.GGA-PBE-paw-v1.0.UPF,05c9718e721659702686644d9eb483a48cbf50c06f51501fbf59c2a7aa5cb5b5,available,local_SSSP_efficiency_cache
Er,Er.GGA-PBE-paw-v1.0.UPF,pseudos/Er.GGA-PBE-paw-v1.0.UPF,da574f4bdcf21b3eaaea796a61ec2d15800de1244b2e05f58070c538d5a5bc1d,available,local_SSSP_efficiency_cache
Eu,Eu.GGA-PBE-paw-v1.0.UPF,pseudos/Eu.GGA-PBE-paw-v1.0.UPF,c6008bed266c780e5169337c263b649d6c2dd1e910e57e83c46f3d743f2cd33c,available,local_SSSP_efficiency_cache
F,f_pbe_v1.4.uspp.F.UPF,pseudos/f_pbe_v1.4.uspp.F.UPF,9802dd8e5c30fe92ff0a8dc0865f4fb9023d6a3a42caccdd33c0de6de83d0883,available,local_SSSP_efficiency_cache
Fe,Fe.pbe-spn-kjpaw_psl.0.2.1.UPF,pseudos/Fe.pbe-spn-kjpaw_psl.0.2.1.UPF,2317a0d3b136c09b6263e1ba328b505fb1ebf33bb4b28dc3df9e39af3184ef19,available,local_SSSP_efficiency_cache
Ga,Ga.pbe-dn-kjpaw_psl.1.0.0.UPF,pseudos/Ga.pbe-dn-kjpaw_psl.1.0.0.UPF,cf8a2be9b30552dd9bb12304d2aa96978e5d10636ca562b42d5a37dc385acd15,available,local_SSSP_efficiency_cache
Gd,Gd.GGA-PBE-paw-v1.0.UPF,pseudos/Gd.GGA-PBE-paw-v1.0.UPF,b0c353b682678aeea02f2699775b4a9b01d317ef9933aab63da81cfc78804f8e,available,local_SSSP_efficiency_cache
Ge,ge_pbe_v1.4.uspp.F.UPF,pseudos/ge_pbe_v1.4.uspp.F.UPF,1b95046ab0f3228e0404719ca66d0309af5a62313be0b22171b963566c90430b,available,local_SSSP_efficiency_cache
H,H.pbe-rrkjus_psl.1.0.0.UPF,pseudos/H.pbe-rrkjus_psl.1.0.0.UPF,27f8a7e87851d59a2698237d6ab4578d62950640f4f175781b015a0ce731f962,available,local_SSSP_efficiency_cache
Hg,Hg_ONCV_PBE-1.0.oncvpsp.upf,pseudos/Hg_ONCV_PBE-1.0.oncvpsp.upf,d9739c3b83e714fdbc820832d91c04a1bf0768e71e51f99fa72ab2c36b0a3f87,available,local_SSSP_efficiency_cache
Ho,Ho.GGA-PBE-paw-v1.0.UPF,pseudos/Ho.GGA-PBE-paw-v1.0.UPF,f7c5151fcd9f62b8dfdb20d9b685f373cafe5ac0163636bf53e8df31935a919b,available,local_SSSP_efficiency_cache
I,I.pbe-n-kjpaw_psl.0.2.UPF,pseudos/I.pbe-n-kjpaw_psl.0.2.UPF,24cb9b3d87f9cd94b025b333aef9360b1e1a721e82ca0efacc5cc33f8370ae8f,available,local_SSSP_efficiency_cache
In,In.pbe-dn-rrkjus_psl.0.2.2.UPF,pseudos/In.pbe-dn-rrkjus_psl.0.2.2.UPF,ac76860606654bf63d2950129329ee50267d50ad92296728a7d42e9355bcfb39,available,local_SSSP_efficiency_cache
