audit_item_id,intended_arm,source_audit_id,human_label,ai_label,ai_matches_existing_publication_label,diagnostic_scope
CTC-PHASE81-0001,raw_topK_reference_overlap,CTC-AUDIT-00056,same_cell_link,same_cell_supported,True,retrospective_internal_sanity_against_existing_phase78_publication_labels;not_used_for_AI_generation;not_a_new_human_review_result
CTC-PHASE81-0002,parc_release_core,CTC-AUDIT-01004,same_cell_link,same_cell_supported,True,retrospective_internal_sanity_against_existing_phase78_publication_labels;not_used_for_AI_generation;not_a_new_human_review_result
CTC-PHASE81-0003,calibration_one_sided_support_pool,CTC-AUDIT-01943,same_cell_link,same_cell_supported,True,retrospective_internal_sanity_against_existing_phase78_publication_labels;not_used_for_AI_generation;not_a_new_human_review_result
CTC-PHASE81-0004,parc_release_core,CTC-AUDIT-00629,same_cell_link,same_cell_supported,True,retrospective_internal_sanity_against_existing_phase78_publication_labels;not_used_for_AI_generation;not_a_new_human_review_result
CTC-PHASE81-0005,parc_release_core,CTC-AUDIT-00558,same_cell_link,same_cell_supported,True,retrospective_internal_sanity_against_existing_phase78_publication_labels;not_used_for_AI_generation;not_a_new_human_review_result
CTC-PHASE81-0006,calibration_one_sided_support_pool,CTC-AUDIT-01299,same_cell_link,same_cell_supported,True,retrospective_internal_sanity_against_existing_phase78_publication_labels;not_used_for_AI_generation;not_a_new_human_review_result
CTC-PHASE81-0007,parc_release_core,CTC-AUDIT-00511,same_cell_link,same_cell_supported,True,retrospective_internal_sanity_against_existing_phase78_publication_labels;not_used_for_AI_generation;not_a_new_human_review_result
CTC-PHASE81-0008,parc_release_core,CTC-AUDIT-00937,same_cell_link,same_cell_supported,True,retrospective_internal_sanity_against_existing_phase78_publication_labels;not_used_for_AI_generation;not_a_new_human_review_result
CTC-PHASE81-0009,parc_release_core,CTC-AUDIT-01035,same_cell_link,same_cell_supported,True,retrospective_internal_sanity_against_existing_phase78_publication_labels;not_used_for_AI_generation;not_a_new_human_review_result
CTC-PHASE81-0010,raw_topK_reference_overlap,CTC-AUDIT-00175,same_cell_link,same_cell_supported,True,retrospective_internal_sanity_against_existing_phase78_publication_labels;not_used_for_AI_generation;not_a_new_human_review_result
CTC-PHASE81-0011,calibration_one_sided_support_pool,CTC-AUDIT-01904,same_cell_link,same_cell_supported,True,retrospective_internal_sanity_against_existing_phase78_publication_labels;not_used_for_AI_generation;not_a_new_human_review_result
CTC-PHASE81-0012,calibration_one_sided_support_pool,CTC-AUDIT-02042,same_cell_link,same_cell_supported,True,retrospective_internal_sanity_against_existing_phase78_publication_labels;not_used_for_AI_generation;not_a_new_human_review_result
