alpha,K,support_mode,audit_policy,audit_budget_fraction_requested,audit_budget_fraction_effective,seeds,nonempty_seeds,safe_seeds,mean_release_size,median_release_size,max_release_size,total_released,total_false_t1,mean_FTR_t1_if_nonempty,mean_FTR_t1_empty_zero,mean_raw_topK_t1_FTR,mean_verified_t1_positives,mean_verified_positive_yield,mean_max_evalue,mean_required_evalue_threshold_if_released,mean_self_consistency_margin,mean_evidence_mass,self_consistency_pass_any_seed,strict_alpha_0p10_success,relaxed_current_mp_operating_success,boundary_nonempty,evidence_scope,random_same_budget_nonempty_seeds,random_same_budget_safe_seeds,random_same_budget_refuses,claim_status
0.1,25,t1_10pct_support,blockmax_gain_t1_audit,0.002,0.002,20,0,0,0.0,0.0,0,0,0,,0.0,0.2720000000000001,0.9,0.9,21.983695823080108,,-6.541655824016398,0.392330311387055,False,False,False,False,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,certified_refusal
0.1,25,t1_10pct_support,blockmax_gain_t1_audit,0.005,0.005,20,1,0,0.6,0.0,12,12,3,0.25,0.0125,0.2720000000000001,2.2,0.7333333333333332,23.045177725064455,20.83333333333333,-5.561748031674091,0.5248871219594565,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,blockmax_gain_t1_audit,0.01,0.01,20,1,0,0.6,0.0,12,12,3,0.25,0.0125,0.2720000000000001,3.95,0.6583333333333334,23.29395372199574,20.83333333333333,-5.003089997804422,0.5878775504281971,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,blockmax_gain_t1_audit,0.02,0.02,20,1,0,0.6,0.0,12,12,3,0.25,0.0125,0.2720000000000001,7.75,0.6511363636363636,23.20487368808751,20.83333333333333,-4.567797518295985,0.6096899900888543,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,blockmax_gain_t1_audit,0.05,0.05,20,1,0,0.6,0.0,12,12,3,0.25,0.0125,0.2720000000000001,15.6,0.5255435934106678,23.05652720377042,20.83333333333333,-4.508669936611655,0.6075915029379311,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,blockmax_gain_t1_audit,0.1,0.1,20,1,0,0.6,0.0,12,12,3,0.25,0.0125,0.2720000000000001,34.3,0.578803309180833,22.696275610688193,20.83333333333333,-4.596001919739336,0.5986665539568923,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,blockmax_gain_t1_audit,0.2,0.1,20,1,0,0.6,0.0,12,12,3,0.25,0.0125,0.2720000000000001,34.3,0.578803309180833,22.696275610688193,20.83333333333333,-4.596001919739336,0.5986665539568923,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,blockmax_gain_t1_audit,1.0,0.1,20,1,0,0.6,0.0,12,12,3,0.25,0.0125,0.2720000000000001,34.3,0.578803309180833,22.696275610688193,20.83333333333333,-4.596001919739336,0.5986665539568923,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,low_risk_score_targeted_t1_audit,0.002,0.002,20,0,0,0.0,0.0,0,0,0,,0.0,0.2720000000000001,1.0,1.0,19.483353065803314,,-6.731403561281175,0.3551268653089422,False,False,False,False,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,certified_refusal
0.1,25,t1_10pct_support,low_risk_score_targeted_t1_audit,0.005,0.005,20,0,0,0.0,0.0,0,0,0,,0.0,0.2720000000000001,3.0,1.0,19.717539481412068,,-6.671481282154369,0.3586387212672547,False,False,False,False,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,certified_refusal
