result_id,protocol_family,alpha,K,protocol_family_member,predeclared,source_artifact,source_sha256,membership_note
materials_alignn_ff_modern_learned_materials_model_alpha0.1_K100,materials_frozen_alpha_rho_K_public_label_followup,0.1,100,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.1_K300,materials_frozen_alpha_rho_K_public_label_followup,0.1,300,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.1_K500,materials_frozen_alpha_rho_K_public_label_followup,0.1,500,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.1_K1000,materials_frozen_alpha_rho_K_public_label_followup,0.1,1000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.1_K5000,materials_frozen_alpha_rho_K_public_label_followup,0.1,5000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.2_K100,materials_frozen_alpha_rho_K_public_label_followup,0.2,100,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.2_K300,materials_frozen_alpha_rho_K_public_label_followup,0.2,300,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.2_K500,materials_frozen_alpha_rho_K_public_label_followup,0.2,500,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.2_K1000,materials_frozen_alpha_rho_K_public_label_followup,0.2,1000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.2_K5000,materials_frozen_alpha_rho_K_public_label_followup,0.2,5000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
