audit_id,sample_set,dataset,domain,generator,aoi,video_id,path_id,source_building_id,target_building_id,frame_start,frame_end,source_year,source_month,target_year,target_month,score,candidate_rank,bbox_iou,centroid_distance_score,area_ratio,base_geometry_score,deterministic_noise,_true,audit_role
SPCAL-000001,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1000,SN7::L15-0571E-1075N_2287_3888_13::2018-01->2018-02::9012->9012::17ead524a4db8236->17ead524a4db8236,9012,9012,0,1,2018,1,2018,2,0.9996848185349188,711403,1.0,1.0,1.0,1.0,6.905624127995249e-05,True,calibration
SPCAL-000002,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1001,SN7::L15-0571E-1075N_2287_3888_13::2018-02->2018-03::13566->13566::80ce1091115dfb1b->80ce1091115dfb1b,13566,13566,1,2,2018,2,2018,3,0.9996878183268335,646751,1.0,1.0,1.0,1.0,7.166096596478181e-05,True,calibration
SPCAL-000003,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1002,SN7::L15-0571E-1075N_2287_3888_13::2018-03->2018-04::3795->3795::f82dfc828538befd->f82dfc828538befd,3795,3795,2,3,2018,3,2018,4,0.9996907928486829,585315,1.0,1.0,1.0,1.0,2.837841258696027e-05,True,calibration
SPCAL-000004,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1003,SN7::L15-0571E-1075N_2287_3888_13::2018-04->2018-07::1371->1371::888c6c5d2d12da03->888c6c5d2d12da03,1371,1371,3,4,2018,4,2018,7,0.9996937302135571,527768,1.0,1.0,1.0,1.0,0.0001100230306292,True,calibration
SPCAL-000005,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1004,SN7::L15-0571E-1075N_2287_3888_13::2018-07->2018-08::11824->11824::3da276bc4da3e529->3da276bc4da3e529,11824,11824,4,5,2018,7,2018,8,0.999696649077548,472810,1.0,1.0,1.0,1.0,5.736056531802112e-05,True,calibration
SPCAL-000006,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1005,SN7::L15-0571E-1075N_2287_3888_13::2018-08->2018-09::4905->4905::c0bab39d92f0287f->c0bab39d92f0287f,4905,4905,5,6,2018,8,2018,9,0.9996994967484096,421491,1.0,1.0,1.0,1.0,0.0006308784414201,True,calibration
SPCAL-000007,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1006,SN7::L15-0571E-1075N_2287_3888_13::2018-09->2018-10::9884->9884::2cd14bb27e1cb114->2cd14bb27e1cb114,9884,9884,6,7,2018,9,2018,10,0.9997023424043019,372799,1.0,1.0,1.0,1.0,0.0008444165979,True,calibration
SPCAL-000008,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1007,SN7::L15-0571E-1075N_2287_3888_13::2018-10->2018-11::2817->2817::1461f9e59e4f03ba->1461f9e59e4f03ba,2817,2817,7,8,2018,10,2018,11,0.9997052087826325,326261,1.0,1.0,1.0,1.0,0.0003568081828184,True,calibration
SPCAL-000009,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1008,SN7::L15-0571E-1075N_2287_3888_13::2018-11->2018-12::5572->5572::a892f4f7ea7cb207->a892f4f7ea7cb207,5572,5572,8,9,2018,11,2018,12,0.999708031299502,282885,1.0,1.0,1.0,1.0,0.0001108045968116,True,calibration
SPCAL-000010,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1009,SN7::L15-0571E-1075N_2287_3888_13::2018-12->2019-01::8853->8853::42eea8db81fd2ce8->42eea8db81fd2ce8,8853,8853,9,10,2018,12,2019,1,0.9997108147881375,242576,1.0,1.0,1.0,1.0,4.497877782938547e-05,True,calibration
