audit_id,sample_set,aoi,video_id,source_year,source_month,target_year,target_month,bbox_iou,centroid_distance_score,area_ratio,base_geometry_score,score,path_id,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status
SPRAW-000001,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.999746948719154,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::9298->9298::533e395c621af5bc->533e395c621af5bc,,,,,
SPRAW-000002,prospective_raw_topk_audit,L15-0586E-1127N_2345_3680_13,4023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997469412049859,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::2423->2423::cba5659562007e7e->cba5659562007e7e,,,,,
SPRAW-000003,prospective_raw_topk_audit,L15-0586E-1127N_2345_3680_13,4023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997469387115898,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::4463->4463::840b01106fcf9109->840b01106fcf9109,,,,,
SPRAW-000004,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997469370754107,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::3516->3516::2f0b9fa641102e47->2f0b9fa641102e47,,,,,
SPRAW-000005,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997469357684674,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::7995->7995::9cf75e3bc4097612->9cf75e3bc4097612,,,,,
SPRAW-000006,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997469348168639,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::121->121::2b7134fe8c616d29->2b7134fe8c616d29,,,,,
SPRAW-000007,prospective_raw_topk_audit,L15-0586E-1127N_2345_3680_13,4023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997469322230236,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::137->137::533564d32dd6f17f->533564d32dd6f17f,,,,,
SPRAW-000008,prospective_raw_topk_audit,L15-0586E-1127N_2345_3680_13,4023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997469310846967,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::4424->4424::e452965a2312e7fd->e452965a2312e7fd,,,,,
SPRAW-000009,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997469274006585,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::1362->1362::693f2f663a83cac5->693f2f663a83cac5,,,,,
SPRAW-000010,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997469238330129,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::3060->3060::e3dce91dd2c1bd89->e3dce91dd2c1bd89,,,,,
SPRAW-000011,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997469183720287,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::3450->3450::9e6763d05de1ada6->9e6763d05de1ada6,,,,,
SPRAW-000012,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997469169927098,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::6655->6655::eb14ed87586b78a5->eb14ed87586b78a5,,,,,
SPRAW-000013,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.999746914031265,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::6985->6985::90a2ceff137838a2->90a2ceff137838a2,,,,,
SPRAW-000014,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997469124752378,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::2487->2487::cb38708f0f728956->cb38708f0f728956,,,,,
SPRAW-000015,prospective_raw_topk_audit,L15-0586E-1127N_2345_3680_13,4023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997469087206553,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::3519->3519::411d9e6c60ef89f4->411d9e6c60ef89f4,,,,,
SPRAW-000016,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997469084917646,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::6490->6490::dab0176b5acdc3cb->dab0176b5acdc3cb,,,,,
SPRAW-000017,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468964646679,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::1157->1157::74fc8302e50796de->74fc8302e50796de,,,,,
SPRAW-000018,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.999746896394391,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::7327->7327::4bd435a2a5319f8e->4bd435a2a5319f8e,,,,,
SPRAW-000019,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468959385948,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::228->228::6d2e59b5cc1d8ec0->6d2e59b5cc1d8ec0,,,,,
SPRAW-000020,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468958341833,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::2983->2983::51f03f1f6b8d0df3->51f03f1f6b8d0df3,,,,,
SPRAW-000021,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468739088075,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::5867->5867::d5b4f16868082060->d5b4f16868082060,,,,,
SPRAW-000022,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468717380539,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::7290->7290::5bb41bba7dc430fd->5bb41bba7dc430fd,,,,,
SPRAW-000023,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468687399333,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::3399->3399::f847f3f82a8e982a->f847f3f82a8e982a,,,,,
SPRAW-000024,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468674687838,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::1182->1182::b135bac5d124c862->b135bac5d124c862,,,,,
SPRAW-000025,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468660048453,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::3404->3404::138075d142d76e94->138075d142d76e94,,,,,
SPRAW-000026,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468636613214,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::331->331::c006c3aecc3d4592->c006c3aecc3d4592,,,,,
SPRAW-000027,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468516802932,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::2163->2163::1484d1ff2da50d39->1484d1ff2da50d39,,,,,
SPRAW-000028,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468419219436,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::1118->1118::1f3b712fbcb83752->1f3b712fbcb83752,,,,,
SPRAW-000029,prospective_raw_topk_audit,L15-0586E-1127N_2345_3680_13,4023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468365174353,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::2604->2604::cf5e1bda63de02ad->cf5e1bda63de02ad,,,,,
SPRAW-000030,prospective_raw_topk_audit,L15-0586E-1127N_2345_3680_13,4023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468346857811,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::4671->4671::a076845542fbe865->a076845542fbe865,,,,,
SPRAW-000031,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.999746832231504,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::2943->2943::0359455562bdfb36->0359455562bdfb36,,,,,
SPRAW-000032,prospective_raw_topk_audit,L15-0586E-1127N_2345_3680_13,4023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468229825626,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::1014->1014::39daf30636b680bc->39daf30636b680bc,,,,,
SPRAW-000033,prospective_raw_topk_audit,L15-0586E-1127N_2345_3680_13,4023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468144764516,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::4111->4111::8d9f44688ce523b2->8d9f44688ce523b2,,,,,
SPRAW-000034,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.999746808896609,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::5620->5620::6a80e09770345713->6a80e09770345713,,,,,
SPRAW-000035,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468043972946,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::1632->1632::9f910df42e01d03c->9f910df42e01d03c,,,,,
SPRAW-000036,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.999746802599555,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::1572->1572::ebf42f2c25dcbbef->ebf42f2c25dcbbef,,,,,
SPRAW-000037,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997468025493386,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::5049->5049::804cf8b5e0755d30->804cf8b5e0755d30,,,,,
SPRAW-000038,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.999746800464346,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::3505->3505::cc00ce9a3e3760a0->cc00ce9a3e3760a0,,,,,
SPRAW-000039,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997467972404075,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::3758->3758::5bd35d02ba329dcb->5bd35d02ba329dcb,,,,,
SPRAW-000040,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997467896192958,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::99->99::f3f9c92715c1d143->f3f9c92715c1d143,,,,,
SPRAW-000041,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997467871605645,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::6016->6016::e7b6d9394f2b1645->e7b6d9394f2b1645,,,,,
SPRAW-000042,prospective_raw_topk_audit,L15-0586E-1127N_2345_3680_13,4023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997467857383462,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::3149->3149::886ea62b90e00067->886ea62b90e00067,,,,,
SPRAW-000043,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997467785266932,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::8692->8692::fe7951ff71eca288->fe7951ff71eca288,,,,,
SPRAW-000044,prospective_raw_topk_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.999746777096391,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::3462->3462::1a669848b61f0812->1a669848b61f0812,,,,,
