variant,proposal_source,block_definition,rho,alpha,K,seeds,non_empty_seeds,mean_release,min_release,max_release,actual_FTR_mean,actual_FTR_max,actual_FTR_bootstrap95_low,actual_FTR_bootstrap95_high,raw_topK_actual_FTR_mean,best_mass_ratio_mean,max_observed_e_mean,required_e,block_coverage_mean,released_boundary_rate_25meV_mean,dominant_empty_reason,robustness_interpretation
conservative_clear_stable_observed_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,50,20,20,50.0,50,50,0.009,0.08,0.0,0.021,0.009,15.902648194545392,164.79406777368217,10.0,0.9974905046120458,0.0,,strict_alpha010_pass
conservative_clear_stable_observed_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,100,20,20,100.0,100,100,0.0854999999999999,0.22,0.055,0.1175,0.0854999999999999,11.856871677644266,164.79406777368217,10.0,0.9974905046120458,0.0125,,strict_alpha010_pass
conservative_clear_stable_observed_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,300,20,20,109.15,39,171,0.0777423456232636,0.1485148514851485,0.0579676074583314,0.0964234700022698,0.2531666666666666,3.9605287870530033,164.79406777368217,10.0,0.9974905046120458,0.0099036611832113,,strict_alpha010_pass
conservative_clear_stable_observed_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,500,20,20,90.05,37,143,0.0473361533006988,0.1222222222222222,0.0316824582187469,0.0636998993530938,0.3269,2.376317272231802,164.79406777368217,10.0,0.9974905046120458,0.0011383426668593,,strict_alpha010_pass
conservative_clear_stable_observed_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,1000,20,15,60.8,0,103,0.0059724934477619,0.0689655172413793,0.0,0.0137931034482758,0.3909999999999999,1.188158636115901,164.79406777368217,10.0,0.9974905046120458,0.0,,sensitivity_or_refusal
conservative_clear_stable_observed_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.51548,0.2376317272231801,164.79406777368217,10.0,0.9974905046120458,0.0,insufficient_high_e_mass_for_uniform_scs,sensitivity_or_refusal
conservative_clear_stable_observed_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,50,20,20,50.0,50,50,0.001,0.02,0.0,0.003,0.001,16.287859313929985,164.68978331639784,10.0,0.9967715680954964,0.0,,strict_alpha010_pass
conservative_clear_stable_observed_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,100,20,20,100.0,100,100,0.03,0.1,0.016,0.0445,0.03,13.454839682450729,164.68978331639784,10.0,0.9967715680954964,0.0165,,strict_alpha010_pass
conservative_clear_stable_observed_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,300,20,20,152.3,43,300,0.0754735617542761,0.21,0.0531574141854065,0.0985816996882266,0.2349999999999999,4.751199834988349,164.68978331639784,10.0,0.9967715680954964,0.0281411270034657,,strict_alpha010_pass
conservative_clear_stable_observed_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,500,20,20,115.15,40,174,0.0277482629677453,0.0873015873015873,0.0171878319209544,0.0391903864988324,0.3258999999999999,2.8507199009930098,164.68978331639784,10.0,0.9967715680954964,0.0115513686084931,,strict_alpha010_pass
conservative_clear_stable_observed_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,1000,20,16,81.35,0,149,0.0126896663077727,0.0581395348837209,0.006076062302111,0.0202567919633249,0.4096,1.4253599504965049,164.68978331639784,10.0,0.9967715680954964,0.005308252644233,,sensitivity_or_refusal
conservative_clear_stable_observed_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.40651,0.2850719900993009,164.68978331639784,10.0,0.9967715680954964,0.0,insufficient_high_e_mass_for_uniform_scs,sensitivity_or_refusal
exact_stable_primary,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,50,20,20,50.0,50,50,0.009,0.08,0.0,0.021,0.009,15.88840245992439,164.64649454156125,10.0,0.9964731416169288,0.0,,strict_alpha010_pass
