model,term,coefficient,intercept,diagnostic_status
standardized_mean_difference,phi,-0.6507317363872055,,completed_descriptive_model
standardized_mean_difference,coverage_numeric,0.20208370559429817,,completed_descriptive_model
standardized_mean_difference,raw_risk,-0.7587222738125906,,completed_descriptive_model
standardized_mean_difference,max_ratio,-0.6860841446110918,,completed_descriptive_model
standardized_mean_difference,conflict_density,0.0,,completed_descriptive_model
interpretable_rule_accuracy,phi_ge_1_and_max_ratio_ge_1,0.46153846153846156,,completed_descriptive_model
interpretable_rule_accuracy,phi_ge_1,0.38461538461538464,,completed_descriptive_model
interpretable_rule_accuracy,max_ratio_ge_1,0.38461538461538464,,completed_descriptive_model
interpretable_rule_accuracy,coverage_positive,0.3076923076923077,,completed_descriptive_model
leave_domain_out_rule,biomedical_cell_tracking,0.75,,completed_leave_domain_out
leave_domain_out_rule,earth_observation,0.5,,completed_leave_domain_out
leave_domain_out_rule,ecological_camera_traps,1.0,,completed_leave_domain_out
leave_domain_out_rule,materials_discovery,0.3684210526315789,,completed_leave_domain_out
