dataset,task,modality,source,alpha1,seeds,M,released_mean,released_min,released_max,UTR_mean,conservative_FTR_mean,mass_ratio_mean,release_state,empty_reason_examples,evidence_role,paper_scope,source_table
LVIS,single_frame_open_vocabulary_detection,box,GroundingDINO,0.1,3,150,150.0,150.0,150.0,0.0,0.0,0.0,positive_certified_release,,single_frame_detection_positive,generality_evidence_not_sota_detection_benchmark,generality_reliability/table_lvis_detection_certification.csv
LVIS,single_frame_open_vocabulary_detection,box,GroundingDINO,0.2,3,150,150.0,150.0,150.0,0.0,0.0,0.0,positive_certified_release,,single_frame_detection_positive,generality_evidence_not_sota_detection_benchmark,generality_reliability/table_lvis_detection_certification.csv
LVIS,single_frame_open_vocabulary_detection,box,OWLv2,0.1,3,150,1.6666666666666667,0.0,5.0,0.19999999999999998,0.19999999999999998,0.0,high_utr_stress_release,no_k_satisfies_uniform_self_consistency,single_frame_detection_stress_or_refusal,generality_evidence_not_sota_detection_benchmark,generality_reliability/table_lvis_detection_certification.csv
LVIS,single_frame_open_vocabulary_detection,box,OWLv2,0.2,3,150,150.0,150.0,150.0,0.5777777777777778,0.5777777777777778,0.0,high_utr_stress_release,,single_frame_detection_stress_or_refusal,generality_evidence_not_sota_detection_benchmark,generality_reliability/table_lvis_detection_certification.csv
LVVIS,open_vocabulary_video_instance_scaffold,box_path,GroundingDINO,0.1,1,150,150.0,150.0,150.0,0.011111111111111,0.011111111111111,10.662316980431816,positive_certified_release,,non_tracking_or_weak_tracking_positive_scaffold,generality_evidence_not_sota_video_instance_benchmark,lvvis_certification/table_lvvis_parc_summary.csv
LVVIS,open_vocabulary_video_instance_scaffold,box_path,GroundingDINO,0.2,1,150,150.0,150.0,150.0,0.011111111111111,0.011111111111111,15.662316980431816,positive_certified_release,,non_tracking_or_weak_tracking_positive_scaffold,generality_evidence_not_sota_video_instance_benchmark,lvvis_certification/table_lvvis_parc_summary.csv
LVVIS,mask_path_certification,mask_path_iou_0.3,SAM_box_prompt_or_rectangle_mask_scaffold,0.1,3,150,150.0,150.0,150.0,0.011111111111111066,0.011111111111111066,2.066231698043181,positive_certified_release,,mask_morphology_extension,proof_of_principle_not_full_mask_sota_benchmark,lvvis_mask_certification/table_lvvis_mask_certification.csv
LVVIS,mask_path_certification,mask_path_iou_0.5,SAM_box_prompt_or_rectangle_mask_scaffold,0.1,3,150,150.0,150.0,150.0,0.011111111111111066,0.011111111111111066,2.066231698043181,positive_certified_release,,mask_morphology_extension,proof_of_principle_not_full_mask_sota_benchmark,lvvis_mask_certification/table_lvvis_mask_certification.csv
LVVIS,mask_path_certification,mask_path_iou_0.7,SAM_box_prompt_or_rectangle_mask_scaffold,0.1,3,150,150.0,150.0,150.0,0.011111111111111066,0.011111111111111066,2.066231698043181,positive_certified_release,,mask_morphology_extension,proof_of_principle_not_full_mask_sota_benchmark,lvvis_mask_certification/table_lvvis_mask_certification.csv
LVVIS,mask_path_certification,mask_path_iou_0.3,SAM_box_prompt_or_rectangle_mask_scaffold,0.2,3,150,150.0,150.0,150.0,0.011111111111111066,0.011111111111111066,4.132463396086362,positive_certified_release,,mask_morphology_extension,proof_of_principle_not_full_mask_sota_benchmark,lvvis_mask_certification/table_lvvis_mask_certification.csv
LVVIS,mask_path_certification,mask_path_iou_0.5,SAM_box_prompt_or_rectangle_mask_scaffold,0.2,3,150,150.0,150.0,150.0,0.011111111111111066,0.011111111111111066,4.132463396086362,positive_certified_release,,mask_morphology_extension,proof_of_principle_not_full_mask_sota_benchmark,lvvis_mask_certification/table_lvvis_mask_certification.csv
LVVIS,mask_path_certification,mask_path_iou_0.7,SAM_box_prompt_or_rectangle_mask_scaffold,0.2,3,150,150.0,150.0,150.0,0.011111111111111066,0.011111111111111066,4.132463396086362,positive_certified_release,,mask_morphology_extension,proof_of_principle_not_full_mask_sota_benchmark,lvvis_mask_certification/table_lvvis_mask_certification.csv
