dataset,video_id,path_id,release_checkpoint,cell_id,score,p_block,p_any,e_value,gamma,gamma_star,empty_block_policy,p_min_block,p_min_effective,emax_effective,score_source,method,audit_policy
OVT-B,98,ovtb_v98_p002960,final,cat:70,0.9511613079479764,0.001488095238095238,0.001488095238095238,12.96148139681572,0.5,0.15360373547321354,coverage_conditional,0.001488095238095238,0.001488095238095238,12.96148139681572,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,800,ovtb_v800_p007869,final,cat:1043,0.9352500587701796,0.001488095238095238,0.001488095238095238,12.96148139681572,0.5,0.15360373547321354,coverage_conditional,0.001488095238095238,0.001488095238095238,12.96148139681572,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,99,ovtb_v99_p002961,final,cat:70,0.923191785812378,0.001488095238095238,0.001488095238095238,12.96148139681572,0.5,0.15360373547321354,coverage_conditional,0.001488095238095238,0.001488095238095238,12.96148139681572,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,342,ovtb_v342_p004578,final,cat:900,0.9200984239578248,0.001488095238095238,0.001488095238095238,12.96148139681572,0.5,0.15360373547321354,coverage_conditional,0.001488095238095238,0.001488095238095238,12.96148139681572,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,1968,ovtb_v1968_p016727,final,cat:669,0.9146773020426432,0.001488095238095238,0.001488095238095238,12.96148139681572,0.5,0.15360373547321354,coverage_conditional,0.001488095238095238,0.001488095238095238,12.96148139681572,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,1157,ovtb_v1157_p010517,final,cat:862,0.9139397442340852,0.001488095238095238,0.001488095238095238,12.96148139681572,0.5,0.15360373547321354,coverage_conditional,0.001488095238095238,0.001488095238095238,12.96148139681572,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,342,ovtb_v342_p004577,final,cat:900,0.9124293753079006,0.001488095238095238,0.001488095238095238,12.96148139681572,0.5,0.15360373547321354,coverage_conditional,0.001488095238095238,0.001488095238095238,12.96148139681572,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,941,ovtb_v941_p008967,final,cat:669,0.9109683707356452,0.001488095238095238,0.001488095238095238,12.96148139681572,0.5,0.15360373547321354,coverage_conditional,0.001488095238095238,0.001488095238095238,12.96148139681572,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,609,ovtb_v609_p006445,final,cat:669,0.9103922843933104,0.001488095238095238,0.001488095238095238,12.96148139681572,0.5,0.15360373547321354,coverage_conditional,0.001488095238095238,0.001488095238095238,12.96148139681572,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,1897,ovtb_v1897_p015623,final,cat:669,0.9081220030784608,0.001488095238095238,0.001488095238095238,12.96148139681572,0.5,0.15360373547321354,coverage_conditional,0.001488095238095238,0.001488095238095238,12.96148139681572,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,464,ovtb_v464_p005387,final,cat:669,0.9078978821635246,0.001488095238095238,0.001488095238095238,12.96148139681572,0.5,0.15360373547321354,coverage_conditional,0.001488095238095238,0.001488095238095238,12.96148139681572,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,682,ovtb_v682_p007017,final,cat:669,0.904645711183548,0.001488095238095238,0.001488095238095238,12.96148139681572,0.5,0.15360373547321354,coverage_conditional,0.001488095238095238,0.001488095238095238,12.96148139681572,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,1968,ovtb_v1968_p016730,final,cat:669,0.9040079414844512,0.001488095238095238,0.001488095238095238,12.96148139681572,0.5,0.15360373547321354,coverage_conditional,0.001488095238095238,0.001488095238095238,12.96148139681572,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,99,ovtb_v99_p002963,final,cat:70,0.903484433889389,0.001488095238095238,0.001488095238095238,12.96148139681572,0.5,0.15360373547321354,coverage_conditional,0.001488095238095238,0.001488095238095238,12.96148139681572,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
