method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,708,591,117,591,591,591,117,0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,13.313526955694433,12.165525060596439,10.0,True,12.165525060596439,8.958006251407944,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,75,10.0,-3.9172374697017807,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,708,591,117,591,591,591,117,0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,13.313526955694433,12.165525060596439,10.0,True,12.165525060596439,8.18644385967496,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,94,10.638297872340425,-4.555535342042206,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,708,591,117,591,591,591,117,0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,13.313526955694433,12.165525060596439,10.0,True,12.165525060596439,7.542466049456723,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,125,10.0,-5.03344519141622,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,708,591,117,591,591,591,117,0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,13.313526955694433,12.165525060596439,10.0,True,12.165525060596439,6.997518763885249,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,147,10.204081632653061,-6.148906612454248,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,708,591,117,591,591,591,117,0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,13.313526955694433,12.165525060596439,10.0,True,12.165525060596439,6.524948623012104,175,175,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,175,10.0,-6.331956181485088,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,708,591,117,591,591,591,117,0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,13.313526955694433,12.165525060596439,10.0,True,12.165525060596439,6.1678355224499555,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,200,10.0,-6.331956181485088,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,708,591,117,591,591,591,117,0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,13.313526955694433,12.165525060596439,10.0,True,12.165525060596439,5.594671843717537,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,247,10.12145748987854,-6.870084153666815,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,708,591,117,591,591,591,117,0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,39.72122294384446,34.11677023775056,10.0,True,34.11677023775056,21.51894043304608,75,75,0,75,75,0,0,0,0,0,3,3,0,0,0.0,0.0,0.0,0.0,1.0,0,2753,10.0,0.5979740293455666,31,24.193548387096772,9.923221850653785,10.597974029345567,21.51894043304608,34.11677023775056,,
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,708,591,117,591,591,591,117,0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,39.72122294384446,34.11677023775056,10.0,True,34.11677023775056,18.642079582383204,100,100,0,31,31,0,0,0,0,0,2,2,0,0,0.0,0.0,0.0,0.0,0.31,0,2753,32.25806451612903,1.8587057216215257,31,32.25806451612903,1.8587057216215257,34.11677023775056,34.11677023775056,34.11677023775056,,
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,708,591,117,591,591,591,117,0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,39.72122294384446,34.11677023775056,10.0,True,34.11677023775056,16.419393088016445,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,125,10.0,-2.471352889450608,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,708,591,117,591,591,591,117,0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,39.72122294384446,34.11677023775056,10.0,True,34.11677023775056,14.659577593529882,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,127,11.811023622047243,-4.2823765114978505,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,708,591,117,591,591,591,117,0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,39.72122294384446,34.11677023775056,10.0,True,34.11677023775056,13.216913725256381,175,175,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,175,10.0,-5.484422985415966,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,708,591,117,591,591,591,117,0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,39.72122294384446,34.11677023775056,10.0,True,34.11677023775056,12.129246636422337,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,200,10.0,-5.484422985415966,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,708,591,117,591,591,591,117,0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,39.72122294384446,34.11677023775056,10.0,True,34.11677023775056,10.460768980910427,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,247,10.12145748987854,-6.4369021440536685,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,708,588,120,588,588,588,120,0,0.15677848597873242,0.15677848597873242,0.001410437235543,0.001697792869269949,0.001697792869269949,39.72031650906805,33.97091768583136,10.0,True,33.97091768583136,24.815249810992995,75,75,0,75,75,0,0,0,0,0,3,3,0,0,0.0,0.0,0.0,0.0,1.0,41,2712,10.0,3.452046882355045,41,18.292682926829265,15.678234759002095,13.452046882355045,24.815249810992995,33.97091768583136,,
