dataset,video_id,path_id,label,reason,auditor,confidence,review_status,verified_positive_for_calibration
TAO,2076,ovtb_v2076_p000985,,,,,,
TAO,2076,ovtb_v2076_p000983,,,,,,
TAO,1747,ovtb_v1747_p000717,,,,,,
TAO,1747,ovtb_v1747_p000720,,,,,,
TAO,5305,ovtb_v5305_p003761,,,,,,
TAO,1747,ovtb_v1747_p000722,,,,,,
TAO,3343,ovtb_v3343_p001912,,,,,,
TAO,3472,ovtb_v3472_p002083,,,,,,
TAO,4977,ovtb_v4977_p003442,,,,,,
TAO,2516,ovtb_v2516_p001225,,,,,,
TAO,4885,ovtb_v4885_p003294,,,,,,
TAO,3399,ovtb_v3399_p001945,,,,,,
TAO,5012,ovtb_v5012_p003511,,,,,,
TAO,4518,ovtb_v4518_p002783,,,,,,
TAO,5753,ovtb_v5753_p004239,,,,,,
TAO,4977,ovtb_v4977_p003455,,,,,,
TAO,4015,ovtb_v4015_p002393,,,,,,
TAO,3063,ovtb_v3063_p001491,,,,,,
TAO,3210,ovtb_v3210_p001720,,,,,,
TAO,2086,ovtb_v2086_p000989,,,,,,
TAO,5390,ovtb_v5390_p003873,,,,,,
TAO,5696,ovtb_v5696_p004174,,,,,,
TAO,5696,ovtb_v5696_p004173,,,,,,
TAO,5696,ovtb_v5696_p004175,,,,,,
TAO,2758,ovtb_v2758_p001313,,,,,,
TAO,4487,ovtb_v4487_p002750,,,,,,
TAO,4599,ovtb_v4599_p002896,,,,,,
TAO,5753,ovtb_v5753_p004230,,,,,,
TAO,2937,ovtb_v2937_p001367,,,,,,
TAO,4487,ovtb_v4487_p002751,,,,,,
TAO,5250,ovtb_v5250_p003666,,,,,,
TAO,894,ovtb_v894_p000457,,,,,,
TAO,894,ovtb_v894_p000456,,,,,,
TAO,3010,ovtb_v3010_p001399,,,,,,
TAO,3010,ovtb_v3010_p001400,,,,,,
TAO,739,ovtb_v739_p000426,,,,,,
TAO,535,ovtb_v535_p000340,,,,,,
TAO,535,ovtb_v535_p000311,,,,,,
TAO,535,ovtb_v535_p000313,,,,,,
TAO,535,ovtb_v535_p000312,,,,,,
TAO,535,ovtb_v535_p000314,,,,,,
TAO,535,ovtb_v535_p000330,,,,,,
TAO,535,ovtb_v535_p000328,,,,,,
TAO,535,ovtb_v535_p000332,,,,,,
TAO,535,ovtb_v535_p000335,,,,,,
TAO,535,ovtb_v535_p000331,,,,,,
TAO,535,ovtb_v535_p000315,,,,,,
TAO,535,ovtb_v535_p000316,,,,,,
TAO,535,ovtb_v535_p000318,,,,,,
TAO,5277,ovtb_v5277_p003693,,,,,,
TAO,5277,ovtb_v5277_p003682,,,,,,
TAO,5007,ovtb_v5007_p003483,,,,,,
TAO,3247,ovtb_v3247_p001760,,,,,,
TAO,1948,ovtb_v1948_p000821,,,,,,
TAO,5644,ovtb_v5644_p004123,,,,,,
TAO,5776,ovtb_v5776_p004267,,,,,,
TAO,5007,ovtb_v5007_p003484,,,,,,
TAO,5776,ovtb_v5776_p004268,,,,,,
TAO,5007,ovtb_v5007_p003485,,,,,,
TAO,5250,ovtb_v5250_p003656,,,,,,
TAO,5007,ovtb_v5007_p003486,,,,,,
TAO,5250,ovtb_v5250_p003653,,,,,,
TAO,3247,ovtb_v3247_p001756,,,,,,
