audit_id,sample_set,dataset,domain,generator,aoi,video_id,path_id,source_building_id,target_building_id,frame_start,frame_end,source_year,source_month,target_year,target_month,score,candidate_rank,is_unmatched,bbox_iou,centroid_distance_score,area_ratio,base_geometry_score,initial_review_label,initial_verified_positive_for_calibration,initial_review_confidence,initial_review_reason,review_status,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status,metadata_review_label,metadata_verified_positive_for_calibration,metadata_review_confidence,metadata_review_reason,metadata_review_status,metadata_sample_name
CAL-000001,calibration_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0331E-1257N_1327_3160_13,1,SN7::L15-0331E-1257N_1327_3160_13::2018-03->2018-04::811->811::2a7a5a218d51b3a6->2a7a5a218d51b3a6,811,811,2,3,2018,3,2018,4,0.999947683402018,313,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,calibration
CAL-000002,calibration_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0331E-1257N_1327_3160_13,2,SN7::L15-0331E-1257N_1327_3160_13::2018-05->2018-06::1273->1273::f5d9bc838143caa1->f5d9bc838143caa1,1273,1273,4,5,2018,5,2018,6,0.9999829076878818,107,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,calibration
CAL-000003,calibration_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0331E-1257N_1327_3160_13,3,SN7::L15-0331E-1257N_1327_3160_13::2018-08->2018-09::657->657::5aa3f7f262c7ffe0->5aa3f7f262c7ffe0,657,657,7,8,2018,8,2018,9,0.9999322386764052,406,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,calibration
CAL-000004,calibration_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0331E-1257N_1327_3160_13,4,SN7::L15-0331E-1257N_1327_3160_13::2018-12->2019-01::436->436::60ff7ccd2893d1c7->60ff7ccd2893d1c7,436,436,11,12,2018,12,2019,1,0.9999624261344944,221,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,calibration
CAL-000005,calibration_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0331E-1257N_1327_3160_13,5,SN7::L15-0331E-1257N_1327_3160_13::2019-02->2019-03::1596->1596::e6261b803e85eb50->e6261b803e85eb50,1596,1596,13,14,2019,2,2019,3,0.9997182064156078,1647,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,calibration
CAL-000006,calibration_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0331E-1257N_1327_3160_13,6,SN7::L15-0331E-1257N_1327_3160_13::2019-04->2019-05::382->382::9efe729279f1bb97->9efe729279f1bb97,382,382,15,16,2019,4,2019,5,0.9998866207053057,677,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,calibration
CAL-000007,calibration_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0331E-1257N_1327_3160_13,7,SN7::L15-0331E-1257N_1327_3160_13::2019-08->2019-09::1910->1910::7bb57b14d6189910->7bb57b14d6189910,1910,1910,19,20,2019,8,2019,9,0.9997969856856028,1205,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,calibration
CAL-000008,calibration_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0331E-1257N_1327_3160_13,8,SN7::L15-0331E-1257N_1327_3160_13::2019-10->2019-11::1163->1163::a609be0d1ba71cf9->a609be0d1ba71cf9,1163,1163,21,22,2019,10,2019,11,0.9999462301242218,323,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,calibration
CAL-000009,calibration_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0357E-1223N_1429_3296_13,9,SN7::L15-0357E-1223N_1429_3296_13::2018-01->2018-02::3705->3705::7d7cbe813077846f->7d7cbe813077846f,3705,3705,0,1,2018,1,2018,2,0.9999985555750716,14,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,calibration
CAL-000010,calibration_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0357E-1223N_1429_3296_13,10,SN7::L15-0357E-1223N_1429_3296_13::2018-06->2018-07::2413->2413::caff4c2e56788065->caff4c2e56788065,2413,2413,5,6,2018,6,2018,7,0.9999785026078452,131,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,calibration
CAL-000011,calibration_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0357E-1223N_1429_3296_13,11,SN7::L15-0357E-1223N_1429_3296_13::2018-07->2018-08::25->25::ccdc08a71d7b1f9e->ccdc08a71d7b1f9e,25,25,6,7,2018,7,2018,8,0.9999869053348088,86,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,calibration
CAL-000012,calibration_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0357E-1223N_1429_3296_13,12,SN7::L15-0357E-1223N_1429_3296_13::2018-12->2019-01::3526->3526::389a035446756e00->389a035446756e00,3526,3526,11,12,2018,12,2019,1,0.9999900866387028,69,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,calibration
CAL-000013,calibration_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0357E-1223N_1429_3296_13,13,SN7::L15-0357E-1223N_1429_3296_13::2019-03->2019-04::1951->1951::5008b8d003c31682->5008b8d003c31682,1951,1951,14,15,2019,3,2019,4,0.9999803360588398,121,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,calibration
