audit_id,sample_set,dataset,domain,generator,aoi,video_id,path_id,source_building_id,target_building_id,frame_start,frame_end,source_year,source_month,target_year,target_month,score,candidate_rank,is_unmatched,bbox_iou,centroid_distance_score,area_ratio,base_geometry_score,initial_review_label,initial_verified_positive_for_calibration,initial_review_confidence,initial_review_reason,review_status,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status,metadata_review_label,metadata_verified_positive_for_calibration,metadata_review_confidence,metadata_review_reason,metadata_review_status,metadata_sample_name
RAW-000001,raw_topk_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0361E-1300N_1446_2989_13,28,SN7::L15-0361E-1300N_1446_2989_13::2018-12->2019-01::2680->2680::8ddc5e17292c87f1->8ddc5e17292c87f1,2680,2680,10,11,2018,12,2019,1,0.999975970054964,146,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,raw_topk
RAW-000002,raw_topk_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0614E-0946N_2459_4406_13,130,SN7::L15-0614E-0946N_2459_4406_13::2019-11->2020-01::918->918::0e75bc3f41e52bb3->0e75bc3f41e52bb3,918,918,19,20,2019,11,2020,1,0.9999755806580028,147,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,raw_topk
RAW-000003,raw_topk_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0571E-1075N_2287_3888_13,99,SN7::L15-0571E-1075N_2287_3888_13::2019-09->2019-11::16838->16838::414353513d50d751->414353513d50d751,16838,16838,17,18,2019,9,2019,11,0.999975314613086,148,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,raw_topk
RAW-000004,raw_topk_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0571E-1075N_2287_3888_13,97,SN7::L15-0571E-1075N_2287_3888_13::2019-02->2019-03::10691->10691::975e3adfccc3b8a3->975e3adfccc3b8a3,10691,10691,11,12,2019,2,2019,3,0.9999749938264476,150,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,raw_topk
RAW-000005,raw_topk_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0368E-1245N_1474_3210_13,36,SN7::L15-0368E-1245N_1474_3210_13::2019-01->2019-02::6879->6879::c9a52a9acb6f02cd->c9a52a9acb6f02cd,6879,6879,11,12,2019,1,2019,2,0.9999747469228412,152,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,raw_topk
RAW-000006,raw_topk_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0368E-1245N_1474_3210_13,36,SN7::L15-0368E-1245N_1474_3210_13::2018-12->2019-01::772->772::3d52e529ae221360->3d52e529ae221360,772,772,10,11,2018,12,2019,1,0.9999745803351971,153,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,raw_topk
RAW-000007,raw_topk_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0457E-1135N_1831_3648_13,56,SN7::L15-0457E-1135N_1831_3648_13::2018-02->2018-03::6015->6015::40fb1b71bda1ebcd->40fb1b71bda1ebcd,6015,6015,1,2,2018,2,2018,3,0.9999745046619032,154,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,raw_topk
RAW-000008,raw_topk_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0614E-0946N_2459_4406_13,125,SN7::L15-0614E-0946N_2459_4406_13::2018-06->2018-07::1446->1446::134beef6ed0db9c7->134beef6ed0db9c7,1446,1446,3,4,2018,6,2018,7,0.9999742514382944,155,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,raw_topk
RAW-000009,raw_topk_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0614E-0946N_2459_4406_13,125,SN7::L15-0614E-0946N_2459_4406_13::2018-06->2018-07::6711->6711::6599086f20d52bd4->6599086f20d52bd4,6711,6711,3,4,2018,6,2018,7,0.999974205616262,156,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,raw_topk
RAW-000010,raw_topk_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0457E-1135N_1831_3648_13,56,SN7::L15-0457E-1135N_1831_3648_13::2018-01->2018-02::3713->3713::efac1837598747d9->efac1837598747d9,3713,3713,0,1,2018,1,2018,2,0.9999737736581048,157,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,raw_topk
RAW-000011,raw_topk_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0544E-1228N_2176_3279_13,81,SN7::L15-0544E-1228N_2176_3279_13::2018-09->2018-10::8588->8588::9515ee6f80c970c6->9515ee6f80c970c6,8588,8588,8,9,2018,9,2018,10,0.9999735653356008,158,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,raw_topk
RAW-000012,raw_topk_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0586E-1127N_2345_3680_13,114,SN7::L15-0586E-1127N_2345_3680_13::2019-07->2019-08::2561->2561::5ca9a71fe69b6c99->5ca9a71fe69b6c99,2561,2561,18,19,2019,7,2019,8,0.999973550843554,159,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,raw_topk
RAW-000013,raw_topk_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0571E-1075N_2287_3888_13,94,SN7::L15-0571E-1075N_2287_3888_13::2018-02->2018-03::5440->5440::b8285c6aee21d51a->b8285c6aee21d51a,5440,5440,1,2,2018,2,2018,3,0.9999735451350986,160,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,raw_topk
RAW-000014,raw_topk_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0614E-0946N_2459_4406_13,128,SN7::L15-0614E-0946N_2459_4406_13::2019-04->2019-05::4921->4921::18aa55e7dfc2e209->18aa55e7dfc2e209,4921,4921,12,13,2019,4,2019,5,0.99997331277102,161,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,,same_building,yes,high,"Official SpaceNet building identifiers and geometry metadata agree with the initial label; this is a metadata/official-proxy review, not an independent human visual audit.",metadata_confirmed_requires_human_visual_review,raw_topk
