audit_id,sample_set,dataset,domain,generator,aoi,video_id,path_id,source_building_id,target_building_id,frame_start,frame_end,source_year,source_month,target_year,target_month,score,candidate_rank,is_unmatched,bbox_iou,centroid_distance_score,area_ratio,base_geometry_score,initial_review_label,initial_verified_positive_for_calibration,initial_review_confidence,initial_review_reason,review_status,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status
REL-000001,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0571E-1075N_2287_3888_13,95,SN7::L15-0571E-1075N_2287_3888_13::2018-04->2018-07::4942->4942::6b77164be3b56d62->6b77164be3b56d62,4942,4942,3,4,2018,4,2018,7,0.9999999573263204,1,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000002,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0614E-0946N_2459_4406_13,130,SN7::L15-0614E-0946N_2459_4406_13::2019-11->2020-01::16541->16541::6683fa3ff167c34e->6683fa3ff167c34e,16541,16541,19,20,2019,11,2020,1,0.9999998552461604,2,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000003,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0457E-1135N_1831_3648_13,60,SN7::L15-0457E-1135N_1831_3648_13::2019-03->2019-04::4483->4483::63730b339df1f250->63730b339df1f250,4483,4483,14,15,2019,3,2019,4,0.9999996771270828,3,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000004,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0586E-1127N_2345_3680_13,111,SN7::L15-0586E-1127N_2345_3680_13::2018-11->2018-12::5351->5351::b565d7da6851ffe0->b565d7da6851ffe0,5351,5351,10,11,2018,11,2018,12,0.9999996502956324,4,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000005,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0544E-1228N_2176_3279_13,83,SN7::L15-0544E-1228N_2176_3279_13::2019-03->2019-04::7237->7237::e27f786efc7d999a->e27f786efc7d999a,7237,7237,14,15,2019,3,2019,4,0.9999996369717956,5,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000006,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0614E-0946N_2459_4406_13,126,SN7::L15-0614E-0946N_2459_4406_13::2018-11->2018-12::452->452::2408ebf7fb3208ce->2408ebf7fb3208ce,452,452,7,8,2018,11,2018,12,0.9999994287187866,6,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000007,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0361E-1300N_1446_2989_13,25,SN7::L15-0361E-1300N_1446_2989_13::2018-01->2018-02::1363->1363::c07614010e11485f->c07614010e11485f,1363,1363,0,1,2018,1,2018,2,0.9999993900078272,7,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000008,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0544E-1228N_2176_3279_13,79,SN7::L15-0544E-1228N_2176_3279_13::2018-02->2018-03::7033->7033::bdc3ec50d11f1965->bdc3ec50d11f1965,7033,7033,1,2,2018,2,2018,3,0.9999992358876189,8,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000009,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0358E-1220N_1433_3310_13,20,SN7::L15-0358E-1220N_1433_3310_13::2018-11->2018-12::2109->2109::f290b0b04571ec40->f290b0b04571ec40,2109,2109,9,10,2018,11,2018,12,0.9999991271918288,9,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000010,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0457E-1135N_1831_3648_13,60,SN7::L15-0457E-1135N_1831_3648_13::2019-03->2019-04::10949->10949::470461ba86a22a73->470461ba86a22a73,10949,10949,14,15,2019,3,2019,4,0.9999989427457164,10,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000011,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0506E-1204N_2027_3374_13,75,SN7::L15-0506E-1204N_2027_3374_13::2019-03->2019-04::105->105::2e58a43c2010e1a3->2e58a43c2010e1a3,105,105,14,15,2019,3,2019,4,0.9999988945181846,11,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000012,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0368E-1245N_1474_3210_13,35,SN7::L15-0368E-1245N_1474_3210_13::2018-09->2018-10::7043->7043::0bee23986d13e1d4->0bee23986d13e1d4,7043,7043,7,8,2018,9,2018,10,0.9999988709653268,12,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000013,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0586E-1127N_2345_3680_13,113,SN7::L15-0586E-1127N_2345_3680_13::2019-06->2019-07::4255->4255::0dc90579beb60039->0dc90579beb60039,4255,4255,17,18,2019,6,2019,7,0.9999986551587746,13,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000014,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0357E-1223N_1429_3296_13,9,SN7::L15-0357E-1223N_1429_3296_13::2018-01->2018-02::3705->3705::7d7cbe813077846f->7d7cbe813077846f,3705,3705,0,1,2018,1,2018,2,0.9999985555750716,14,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000015,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0577E-1243N_2309_3217_13,103,SN7::L15-0577E-1243N_2309_3217_13::2018-10->2018-11::3032->3032::df130cd83c4c5afe->df130cd83c4c5afe,3032,3032,7,8,2018,10,2018,11,0.9999982033028892,15,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000016,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0361E-1300N_1446_2989_13,30,SN7::L15-0361E-1300N_1446_2989_13::2019-05->2019-06::635->635::fd32848ce0735180->fd32848ce0735180,635,635,15,16,2019,5,2019,6,0.9999981245890572,16,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000017,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0357E-1223N_1429_3296_13,15,SN7::L15-0357E-1223N_1429_3296_13::2019-09->2019-10::2590->2590::49bbe5ef23e4f531->49bbe5ef23e4f531,2590,2590,20,21,2019,9,2019,10,0.9999977868170375,17,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000018,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0595E-1278N_2383_3079_13,121,SN7::L15-0595E-1278N_2383_3079_13::2019-05->2019-06::1422->1422::04451ee3c15fe07c->04451ee3c15fe07c,1422,1422,16,17,2019,5,2019,6,0.999997431695832,18,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000019,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0368E-1245N_1474_3210_13,38,SN7::L15-0368E-1245N_1474_3210_13::2019-07->2019-08::2777->2777::9977601dff7788e1->9977601dff7788e1,2777,2777,17,18,2019,7,2019,8,0.9999970924177026,19,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000020,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0586E-1127N_2345_3680_13,112,SN7::L15-0586E-1127N_2345_3680_13::2019-03->2019-04::2563->2563::b756c1acc4c7ce28->b756c1acc4c7ce28,2563,2563,14,15,2019,3,2019,4,0.9999970762687826,20,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000021,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0632E-0892N_2528_4620_13,137,SN7::L15-0632E-0892N_2528_4620_13::2019-07->2019-08::1767->1767::f15b824dec123cd6->f15b824dec123cd6,1767,1767,18,19,2019,7,2019,8,0.9999969781702124,21,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000022,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0571E-1075N_2287_3888_13,94,SN7::L15-0571E-1075N_2287_3888_13::2018-03->2018-04::14826->14826::1690986192cfa34e->1690986192cfa34e,14826,14826,2,3,2018,3,2018,4,0.9999968324061695,22,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000023,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0544E-1228N_2176_3279_13,86,SN7::L15-0544E-1228N_2176_3279_13::2019-11->2019-12::1738->1738::82423771fc0a57c8->82423771fc0a57c8,1738,1738,22,23,2019,11,2019,12,0.9999967014542162,23,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
